FEMALE INJURED,CASES,TOTAL KILLED,CAUSE,MALE INJURED,MALE KILLED,STATE/UT,YEAR,TOTAL INJURED,FEMALE KILLED
10,611,665,ELECTROCUTION,8,573,ANDHRA PRADESH,2001,18,92
52,1003,936,GAS CYLINDER/STOVE BURST,21,204,ANDHRA PRADESH,2001,73,732
0,25,26,FIRE-ARMS,1,19,ANDHRA PRADESH,2001,1,7
0,268,279,SUDDEN DEATHS(HEART ATTACKS),0,220,ANDHRA PRADESH,2001,0,59
0,50,49,EPILEPTIC FITS/GIDDINESS,1,34,ANDHRA PRADESH,2001,1,15
0,19,19,ABORTIONS/CHILD BIRTH,0,0,ANDHRA PRADESH,2001,0,19
1,183,181,INFLUENCE OF ALCOHOL,14,170,ANDHRA PRADESH,2001,15,11
3,159,186,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,13,140,ANDHRA PRADESH,2001,16,46
5,643,633,SNAKE BITE/ANIMAL BITE,7,508,ANDHRA PRADESH,2001,12,125
9,556,579,OTHER,10,398,ANDHRA PRADESH,2001,19,181
0,674,676,OTHER RAILWAY ACCIDENTS,0,586,ANDHRA PRADESH,2001,0,90
3,1399,1447,TOTAL DROWNING,33,1078,ANDHRA PRADESH,2001,36,369
3,822,849,TOTAL FALLS,15,751,ANDHRA PRADESH,2001,18,98
70,1905,1841,TOTAL FIRE,51,668,ANDHRA PRADESH,2001,121,1173
1,520,528,TOTAL SUDDEN DEATHS,15,424,ANDHRA PRADESH,2001,16,104
18,1385,1425,TOTAL POISONING,34,1070,ANDHRA PRADESH,2001,52,355
0,3,3,ELECTROCUTION,0,3,ARUNACHAL PRADESH,2001,0,0
0,1,1,GAS CYLINDER/STOVE BURST,0,0,ARUNACHAL PRADESH,2001,0,1
0,7,9,FIRE-ARMS,0,8,ARUNACHAL PRADESH,2001,0,1
0,8,8,SUDDEN DEATHS(HEART ATTACKS),0,8,ARUNACHAL PRADESH,2001,0,0
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,ARUNACHAL PRADESH,2001,0,0
0,0,0,ABORTIONS/CHILD BIRTH,0,0,ARUNACHAL PRADESH,2001,0,0
0,2,2,INFLUENCE OF ALCOHOL,0,2,ARUNACHAL PRADESH,2001,0,0
0,1,1,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,1,ARUNACHAL PRADESH,2001,0,0
0,1,1,SNAKE BITE/ANIMAL BITE,0,1,ARUNACHAL PRADESH,2001,0,0
0,6,6,OTHER,0,5,ARUNACHAL PRADESH,2001,0,1
0,0,0,OTHER RAILWAY ACCIDENTS,0,0,ARUNACHAL PRADESH,2001,0,0
0,24,24,TOTAL DROWNING,0,20,ARUNACHAL PRADESH,2001,0,4
0,15,15,TOTAL FALLS,0,15,ARUNACHAL PRADESH,2001,0,0
0,10,10,TOTAL FIRE,0,6,ARUNACHAL PRADESH,2001,0,4
0,10,10,TOTAL SUDDEN DEATHS,0,10,ARUNACHAL PRADESH,2001,0,0
0,13,13,TOTAL POISONING,0,12,ARUNACHAL PRADESH,2001,0,1
0,70,71,ELECTROCUTION,0,65,ASSAM,2001,0,6
0,15,15,GAS CYLINDER/STOVE BURST,0,3,ASSAM,2001,0,12
0,40,40,FIRE-ARMS,0,40,ASSAM,2001,0,0
0,41,41,SUDDEN DEATHS(HEART ATTACKS),0,32,ASSAM,2001,0,9
0,1,1,EPILEPTIC FITS/GIDDINESS,0,1,ASSAM,2001,0,0
0,4,4,ABORTIONS/CHILD BIRTH,0,0,ASSAM,2001,0,4
0,7,7,INFLUENCE OF ALCOHOL,0,7,ASSAM,2001,0,0
0,29,29,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,15,ASSAM,2001,0,14
0,6,6,SNAKE BITE/ANIMAL BITE,0,4,ASSAM,2001,0,2
0,142,142,OTHER,0,85,ASSAM,2001,0,57
0,213,217,OTHER RAILWAY ACCIDENTS,0,193,ASSAM,2001,0,24
0,278,278,TOTAL DROWNING,0,191,ASSAM,2001,0,87
0,18,18,TOTAL FALLS,0,17,ASSAM,2001,0,1
1,161,170,TOTAL FIRE,2,53,ASSAM,2001,3,117
0,53,53,TOTAL SUDDEN DEATHS,0,40,ASSAM,2001,0,13
0,185,191,TOTAL POISONING,0,115,ASSAM,2001,0,76
0,61,56,ELECTROCUTION,6,51,BIHAR,2001,6,5
7,66,64,GAS CYLINDER/STOVE BURST,7,8,BIHAR,2001,14,56
0,3,3,FIRE-ARMS,0,3,BIHAR,2001,0,0
0,48,48,SUDDEN DEATHS(HEART ATTACKS),0,45,BIHAR,2001,0,3
0,18,18,EPILEPTIC FITS/GIDDINESS,0,11,BIHAR,2001,0,7
0,5,5,ABORTIONS/CHILD BIRTH,0,0,BIHAR,2001,0,5
0,46,47,INFLUENCE OF ALCOHOL,0,46,BIHAR,2001,0,1
4,216,220,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,23,113,BIHAR,2001,27,107
3,58,58,SNAKE BITE/ANIMAL BITE,1,40,BIHAR,2001,4,18
11,245,266,OTHER,7,162,BIHAR,2001,18,104
73,569,379,OTHER RAILWAY ACCIDENTS,228,280,BIHAR,2001,301,99
0,191,228,TOTAL DROWNING,7,164,BIHAR,2001,7,64
0,73,73,TOTAL FALLS,4,64,BIHAR,2001,4,9
