MALE KILLED,FEMALE INJURED,FEMALE KILLED,CAUSE,CASES,MALE INJURED,YEAR,TOTAL INJURED,STATE/UT,TOTAL KILLED
653,13,65,ELECTROCUTION,703,29,2002,42,ANDHRA PRADESH,718
154,64,639,GAS CYLINDER/STOVE BURST,854,26,2002,90,ANDHRA PRADESH,793
5,0,1,FIRE-ARMS,6,1,2002,1,ANDHRA PRADESH,6
276,0,59,SUDDEN DEATHS(HEART ATTACKS),335,0,2002,0,ANDHRA PRADESH,335
87,2,12,EPILEPTIC FITS/GIDDINESS,104,3,2002,5,ANDHRA PRADESH,99
0,0,10,ABORTIONS/CHILD BIRTH,10,0,2002,0,ANDHRA PRADESH,10
202,0,10,INFLUENCE OF ALCOHOL,211,3,2002,3,ANDHRA PRADESH,212
217,2,67,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,274,6,2002,8,ANDHRA PRADESH,284
617,1,184,SNAKE BITE/ANIMAL BITE,791,5,2002,6,ANDHRA PRADESH,801
584,0,272,OTHER,813,3,2002,3,ANDHRA PRADESH,856
1017,0,169,RAILWAY ACCIDENTS,1185,0,2002,0,ANDHRA PRADESH,1186
1114,23,316,DROWNING,1430,57,2002,80,ANDHRA PRADESH,1430
601,2,84,FALLS,698,43,2002,45,ANDHRA PRADESH,685
623,85,1182,FIRE,1855,71,2002,156,ANDHRA PRADESH,1805
565,2,91,SUDDEN DEATHS,660,6,2002,8,ANDHRA PRADESH,656
1539,3,616,POISONING,2091,14,2002,17,ANDHRA PRADESH,2155
0,0,0,ELECTROCUTION,0,0,2002,0,ARUNACHAL PRADESH,0
0,0,0,GAS CYLINDER/STOVE BURST,0,0,2002,0,ARUNACHAL PRADESH,0
2,0,0,FIRE-ARMS,2,0,2002,0,ARUNACHAL PRADESH,2
2,0,0,SUDDEN DEATHS(HEART ATTACKS),2,0,2002,0,ARUNACHAL PRADESH,2
1,0,0,EPILEPTIC FITS/GIDDINESS,1,0,2002,0,ARUNACHAL PRADESH,1
0,0,0,ABORTIONS/CHILD BIRTH,0,0,2002,0,ARUNACHAL PRADESH,0
6,0,0,INFLUENCE OF ALCOHOL,6,0,2002,0,ARUNACHAL PRADESH,6
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,2002,0,ARUNACHAL PRADESH,0
0,0,0,SNAKE BITE/ANIMAL BITE,0,0,2002,0,ARUNACHAL PRADESH,0
0,0,0,OTHER,0,0,2002,0,ARUNACHAL PRADESH,0
0,0,0,RAILWAY ACCIDENTS,0,0,2002,0,ARUNACHAL PRADESH,0
14,0,6,DROWNING,19,0,2002,0,ARUNACHAL PRADESH,20
12,0,2,FALLS,14,0,2002,0,ARUNACHAL PRADESH,14
3,0,1,FIRE,4,0,2002,0,ARUNACHAL PRADESH,4
9,0,0,SUDDEN DEATHS,9,0,2002,0,ARUNACHAL PRADESH,9
0,0,0,POISONING,0,0,2002,0,ARUNACHAL PRADESH,0
45,0,2,ELECTROCUTION,46,0,2002,0,ASSAM,47
6,0,12,GAS CYLINDER/STOVE BURST,15,0,2002,0,ASSAM,18
7,0,1,FIRE-ARMS,8,0,2002,0,ASSAM,8
82,0,12,SUDDEN DEATHS(HEART ATTACKS),93,0,2002,0,ASSAM,94
0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,2002,0,ASSAM,0
0,0,3,ABORTIONS/CHILD BIRTH,3,0,2002,0,ASSAM,3
2,0,0,INFLUENCE OF ALCOHOL,2,0,2002,0,ASSAM,2
6,0,6,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,12,0,2002,0,ASSAM,12
3,0,2,SNAKE BITE/ANIMAL BITE,5,0,2002,0,ASSAM,5
77,0,52,OTHER,129,0,2002,0,ASSAM,129
289,0,33,RAILWAY ACCIDENTS,322,0,2002,0,ASSAM,322
168,0,76,DROWNING,234,0,2002,0,ASSAM,244
15,0,0,FALLS,15,0,2002,0,ASSAM,15
80,9,118,FIRE,194,14,2002,23,ASSAM,198
84,0,15,SUDDEN DEATHS,98,0,2002,0,ASSAM,99
86,0,60,POISONING,146,0,2002,0,ASSAM,146
34,1,6,ELECTROCUTION,39,6,2002,7,BIHAR,40
16,6,82,GAS CYLINDER/STOVE BURST,93,3,2002,9,BIHAR,98
4,0,3,FIRE-ARMS,9,3,2002,3,BIHAR,7
33,6,15,SUDDEN DEATHS(HEART ATTACKS),56,9,2002,15,BIHAR,48
11,0,5,EPILEPTIC FITS/GIDDINESS,17,1,2002,1,BIHAR,16
0,0,1,ABORTIONS/CHILD BIRTH,1,0,2002,0,BIHAR,1
34,0,1,INFLUENCE OF ALCOHOL,35,0,2002,0,BIHAR,35
144,0,92,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,218,3,2002,3,BIHAR,236
23,1,29,SNAKE BITE/ANIMAL BITE,55,2,2002,3,BIHAR,52
112,5,46,OTHER,167,14,2002,19,BIHAR,158
519,0,82,RAILWAY ACCIDENTS,600,2,2002,2,BIHAR,601
240,4,76,DROWNING,270,10,2002,14,BIHAR,316
59,5,6,FALLS,69,6,2002,11,BIHAR,65
100,23,265,FIRE,364,24,2002,47,BIHAR,365
78,6,22,SUDDEN DEATHS,109,10,2002,16,BIHAR,100
314,9,185,POISONING,485,21,2002,30,BIHAR,499
237,0,41,ELECTROCUTION,277,3,2002,3,CHHATTISGARH,278
5,0,19,GAS CYLINDER/STOVE BURST,24,0,2002,0,CHHATTISGARH,24
10,0,1,FIRE-ARMS,11,0,2002,0,CHHATTISGARH,11
162,0,26,SUDDEN DEATHS(HEART ATTACKS),188,0,2002,0,CHHATTISGARH,188
64,0,24,EPILEPTIC FITS/GIDDINESS,88,0,2002,0,CHHATTISGARH,88
0,0,37,ABORTIONS/CHILD BIRTH,37,0,2002,0,CHHATTISGARH,37
178,0,14,INFLUENCE OF ALCOHOL,192,0,2002,0,CHHATTISGARH,192
403,0,210,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,607,0,2002,0,CHHATTISGARH,613
482,0,316,SNAKE BITE/ANIMAL BITE,797,0,2002,0,CHHATTISGARH,798
105,0,66,OTHER,171,0,2002,0,CHHATTISGARH,171
301,0,65,RAILWAY ACCIDENTS,366,2,2002,2,CHHATTISGARH,366
712,0,437,DROWNING,1146,0,2002,0,CHHATTISGARH,1149
257,0,51,FALLS,308,0,2002,0,CHHATTISGARH,308
144,0,404,FIRE,544,0,2002,0,CHHATTISGARH,548
404,0,101,SUDDEN DEATHS,505,0,2002,0,CHHATTISGARH,505
1020,0,592,POISONING,1605,0,2002,0,CHHATTISGARH,1612
16,0,4,ELECTROCUTION,22,0,2002,0,GOA,20
0,0,7,GAS CYLINDER/STOVE BURST,6,1,2002,1,GOA,7
