CASES,FEMALE KILLED,STATE/UT,TOTAL INJURED,YEAR,CAUSE,MALE INJURED,TOTAL KILLED,MALE KILLED,FEMALE INJURED
875,104,ANDHRA PRADESH,13,2003,ELECTROCUTION,13,849,745,0
846,653,ANDHRA PRADESH,97,2003,GAS CYLINDER/STOVE BURST,24,818,165,73
4,0,ANDHRA PRADESH,0,2003,FIRE-ARMS,0,4,4,0
383,88,ANDHRA PRADESH,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,383,295,0
94,28,ANDHRA PRADESH,1,2003,EPILEPTIC FITS/GIDDINESS,1,94,66,0
13,13,ANDHRA PRADESH,0,2003,ABORTIONS/CHILD BIRTH,0,13,0,0
337,16,ANDHRA PRADESH,5,2003,INFLUENCE OF ALCOHOL,5,337,321,0
344,102,ANDHRA PRADESH,15,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,7,348,246,8
711,183,ANDHRA PRADESH,7,2003,SNAKE BITE/ANIMAL BITE,5,725,542,2
1160,339,ANDHRA PRADESH,1,2003,OTHER,0,1267,928,1
490,72,ANDHRA PRADESH,1,2003,OTHER RAILWAY ACCIDENTS,1,489,417,0
1588,399,ANDHRA PRADESH,22,2003,TOTAL DROWNING,16,1671,1272,6
1094,174,ANDHRA PRADESH,15,2003,TOTAL FALLS,13,1105,931,2
1956,1265,ANDHRA PRADESH,132,2003,TOTAL FIRE,40,1956,691,92
827,145,ANDHRA PRADESH,6,2003,TOTAL SUDDEN DEATHS,6,827,682,0
2339,662,ANDHRA PRADESH,25,2003,TOTAL POISONING,14,2465,1803,11
4,0,ARUNACHAL PRADESH,0,2003,ELECTROCUTION,0,4,4,0
0,0,ARUNACHAL PRADESH,0,2003,GAS CYLINDER/STOVE BURST,0,0,0,0
0,0,ARUNACHAL PRADESH,0,2003,FIRE-ARMS,0,0,0,0
7,0,ARUNACHAL PRADESH,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,7,7,0
1,0,ARUNACHAL PRADESH,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
0,0,ARUNACHAL PRADESH,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
6,2,ARUNACHAL PRADESH,0,2003,INFLUENCE OF ALCOHOL,0,6,4,0
3,3,ARUNACHAL PRADESH,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,3,0,0
0,0,ARUNACHAL PRADESH,0,2003,SNAKE BITE/ANIMAL BITE,0,0,0,0
18,6,ARUNACHAL PRADESH,0,2003,OTHER,0,19,13,0
0,0,ARUNACHAL PRADESH,0,2003,OTHER RAILWAY ACCIDENTS,0,0,0,0
19,6,ARUNACHAL PRADESH,0,2003,TOTAL DROWNING,0,19,13,0
16,0,ARUNACHAL PRADESH,0,2003,TOTAL FALLS,0,17,17,0
8,4,ARUNACHAL PRADESH,0,2003,TOTAL FIRE,0,10,6,0
14,2,ARUNACHAL PRADESH,0,2003,TOTAL SUDDEN DEATHS,0,14,12,0
21,9,ARUNACHAL PRADESH,0,2003,TOTAL POISONING,0,22,13,0
49,6,ASSAM,1,2003,ELECTROCUTION,1,48,42,0
6,5,ASSAM,0,2003,GAS CYLINDER/STOVE BURST,0,6,1,0
24,3,ASSAM,0,2003,FIRE-ARMS,0,26,23,0
62,11,ASSAM,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,66,55,0
3,1,ASSAM,0,2003,EPILEPTIC FITS/GIDDINESS,0,3,2,0
9,9,ASSAM,0,2003,ABORTIONS/CHILD BIRTH,0,9,0,0
3,0,ASSAM,0,2003,INFLUENCE OF ALCOHOL,0,3,3,0
85,34,ASSAM,10,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,7,76,42,3
2,0,ASSAM,0,2003,SNAKE BITE/ANIMAL BITE,0,2,2,0
88,31,ASSAM,0,2003,OTHER,0,88,57,0
345,56,ASSAM,0,2003,OTHER RAILWAY ACCIDENTS,0,345,289,0
197,49,ASSAM,0,2003,TOTAL DROWNING,0,205,156,0
17,1,ASSAM,0,2003,TOTAL FALLS,0,18,17,0
120,59,ASSAM,16,2003,TOTAL FIRE,12,120,61,4
77,21,ASSAM,0,2003,TOTAL SUDDEN DEATHS,0,81,60,0
189,70,ASSAM,10,2003,TOTAL POISONING,7,180,110,3
107,25,BIHAR,25,2003,ELECTROCUTION,19,109,84,6
62,56,BIHAR,3,2003,GAS CYLINDER/STOVE BURST,0,75,19,3
28,15,BIHAR,0,2003,FIRE-ARMS,0,29,14,0
50,8,BIHAR,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,52,44,0
6,2,BIHAR,1,2003,EPILEPTIC FITS/GIDDINESS,1,6,4,0
2,2,BIHAR,0,2003,ABORTIONS/CHILD BIRTH,0,2,0,0
44,0,BIHAR,1,2003,INFLUENCE OF ALCOHOL,1,43,43,0
209,100,BIHAR,17,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,12,225,125,5
37,13,BIHAR,2,2003,SNAKE BITE/ANIMAL BITE,2,38,25,0
119,40,BIHAR,1,2003,OTHER,0,119,79,1
803,148,BIHAR,27,2003,OTHER RAILWAY ACCIDENTS,21,804,656,6
236,90,BIHAR,19,2003,TOTAL DROWNING,17,320,230,2
54,13,BIHAR,7,2003,TOTAL FALLS,5,58,45,2
368,285,BIHAR,18,2003,TOTAL FIRE,6,413,128,12
102,12,BIHAR,2,2003,TOTAL SUDDEN DEATHS,2,103,91,0
436,176,BIHAR,28,2003,TOTAL POISONING,22,461,285,6
413,63,CHHATTISGARH,1,2003,ELECTROCUTION,1,413,350,0
18,18,CHHATTISGARH,0,2003,GAS CYLINDER/STOVE BURST,0,19,1,0
17,1,CHHATTISGARH,0,2003,FIRE-ARMS,0,17,16,0
179,32,CHHATTISGARH,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,180,148,0
69,18,CHHATTISGARH,0,2003,EPILEPTIC FITS/GIDDINESS,0,70,52,0
32,32,CHHATTISGARH,0,2003,ABORTIONS/CHILD BIRTH,0,32,0,0
157,22,CHHATTISGARH,0,2003,INFLUENCE OF ALCOHOL,0,157,135,0
565,196,CHHATTISGARH,3,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3,563,367,0
645,283,CHHATTISGARH,1,2003,SNAKE BITE/ANIMAL BITE,1,644,361,0
261,88,CHHATTISGARH,0,2003,OTHER,0,273,185,0
386,74,CHHATTISGARH,2,2003,OTHER RAILWAY ACCIDENTS,1,386,312,1
1187,416,CHHATTISGARH,0,2003,TOTAL DROWNING,0,1194,778,0
292,55,CHHATTISGARH,0,2003,TOTAL FALLS,0,320,265,0
621,432,CHHATTISGARH,4,2003,TOTAL FIRE,4,621,189,0
437,104,CHHATTISGARH,0,2003,TOTAL SUDDEN DEATHS,0,439,335,0
1486,568,CHHATTISGARH,4,2003,TOTAL POISONING,4,1495,927,0
13,1,GOA,0,2003,ELECTROCUTION,0,13,12,0
13,12,GOA,0,2003,GAS CYLINDER/STOVE BURST,0,13,1,0
0,0,GOA,0,2003,FIRE-ARMS,0,0,0,0
21,2,GOA,0,2003,SUDDEN DEATHS(HEART ATTACKS),0,21,19,0
1,0,GOA,0,2003,EPILEPTIC FITS/GIDDINESS,0,1,1,0
0,0,GOA,0,2003,ABORTIONS/CHILD BIRTH,0,0,0,0
17,0,GOA,0,2003,INFLUENCE OF ALCOHOL,0,17,17,0
4,1,GOA,0,2003,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,4,3,0
1,0,GOA,0,2003,SNAKE BITE/ANIMAL BITE,0,1,1,0
3,2,GOA,0,2003,OTHER,0,3,1,0
13,2,GOA,0,2003,OTHER RAILWAY ACCIDENTS,0,13,11,0
173,19,GOA,0,2003,TOTAL DROWNING,0,191,172,0
87,5,GOA,0,2003,TOTAL FALLS,0,87,82,0
59,43,GOA,0,2003,TOTAL FIRE,0,61,18,0
39,2,GOA,0,2003,TOTAL SUDDEN DEATHS,0,39,37,0
8,3,GOA,0,2003,TOTAL POISONING,0,8,5,0
433,85,GUJARAT,9,2003,ELECTROCUTION,5,433,348,4
539,399,GUJARAT,10,2003,GAS CYLINDER/STOVE BURST,2,544,145,8
7,1,GUJARAT,0,2003,FIRE-ARMS,0,7,6,0
