STATE/UT,CASES,MALE INJURED,TOTAL INJURED,TOTAL KILLED,FEMALE KILLED,YEAR,FEMALE INJURED,CAUSE,MALE KILLED
ANDHRA PRADESH,746,4,6,768,99,2004,2,ELECTROCUTION,669
ANDHRA PRADESH,537,12,70,526,422,2004,58,GAS CYLINDER/STOVE BURST,104
ANDHRA PRADESH,3,0,0,3,0,2004,0,FIRE-ARMS,3
ANDHRA PRADESH,409,0,0,411,95,2004,0,SUDDEN DEATHS(HEART ATTACKS),316
ANDHRA PRADESH,103,1,1,103,33,2004,0,EPILEPTIC FITS/GIDDINESS,70
ANDHRA PRADESH,32,0,0,32,32,2004,0,ABORTIONS/CHILD BIRTH,0
ANDHRA PRADESH,249,7,7,241,8,2004,0,INFLUENCE OF ALCOHOL,233
ANDHRA PRADESH,147,14,17,131,36,2004,3,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,95
ANDHRA PRADESH,675,9,12,665,178,2004,3,SNAKE BITE/ANIMAL BITE,487
ANDHRA PRADESH,824,0,2,834,279,2004,2,OTHER,555
ANDHRA PRADESH,992,19,21,1204,153,2004,2,OTHER RAILWAY ACCIDENTS,1051
ANDHRA PRADESH,1168,10,12,1213,250,2004,2,TOTAL DROWNING,963
ANDHRA PRADESH,708,14,18,702,93,2004,4,TOTAL FALLS,609
ANDHRA PRADESH,1509,49,133,1483,906,2004,84,TOTAL FIRE,577
ANDHRA PRADESH,793,8,8,787,168,2004,0,TOTAL SUDDEN DEATHS,619
ANDHRA PRADESH,1730,23,31,1714,498,2004,8,TOTAL POISONING,1216
ARUNACHAL PRADESH,0,0,0,0,0,2004,0,ELECTROCUTION,0
ARUNACHAL PRADESH,1,0,0,1,1,2004,0,GAS CYLINDER/STOVE BURST,0
ARUNACHAL PRADESH,0,0,0,0,0,2004,0,FIRE-ARMS,0
ARUNACHAL PRADESH,8,0,0,8,1,2004,0,SUDDEN DEATHS(HEART ATTACKS),7
ARUNACHAL PRADESH,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
ARUNACHAL PRADESH,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
ARUNACHAL PRADESH,1,0,0,1,0,2004,0,INFLUENCE OF ALCOHOL,1
ARUNACHAL PRADESH,2,0,0,3,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,3
ARUNACHAL PRADESH,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
ARUNACHAL PRADESH,3,0,0,3,2,2004,0,OTHER,1
ARUNACHAL PRADESH,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
ARUNACHAL PRADESH,16,0,0,17,4,2004,0,TOTAL DROWNING,13
ARUNACHAL PRADESH,7,0,0,7,0,2004,0,TOTAL FALLS,7
ARUNACHAL PRADESH,5,0,0,6,4,2004,0,TOTAL FIRE,2
ARUNACHAL PRADESH,9,0,0,9,1,2004,0,TOTAL SUDDEN DEATHS,8
ARUNACHAL PRADESH,5,0,0,6,2,2004,0,TOTAL POISONING,4
ASSAM,28,0,0,28,5,2004,0,ELECTROCUTION,23
ASSAM,13,0,0,13,12,2004,0,GAS CYLINDER/STOVE BURST,1
ASSAM,16,0,0,16,1,2004,0,FIRE-ARMS,15
ASSAM,35,0,0,35,7,2004,0,SUDDEN DEATHS(HEART ATTACKS),28
ASSAM,1,0,0,1,0,2004,0,EPILEPTIC FITS/GIDDINESS,1
ASSAM,7,0,0,7,7,2004,0,ABORTIONS/CHILD BIRTH,0
ASSAM,0,0,0,0,0,2004,0,INFLUENCE OF ALCOHOL,0
ASSAM,18,0,0,18,5,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,13
ASSAM,4,0,0,4,2,2004,0,SNAKE BITE/ANIMAL BITE,2
ASSAM,135,0,0,135,60,2004,0,OTHER,75
ASSAM,372,2,3,372,72,2004,1,OTHER RAILWAY ACCIDENTS,300
ASSAM,266,0,0,280,66,2004,0,TOTAL DROWNING,214
ASSAM,11,0,0,11,1,2004,0,TOTAL FALLS,10
ASSAM,107,2,2,105,63,2004,0,TOTAL FIRE,42
ASSAM,43,0,0,43,14,2004,0,TOTAL SUDDEN DEATHS,29
ASSAM,169,0,0,169,73,2004,0,TOTAL POISONING,96
BIHAR,101,3,5,104,26,2004,2,ELECTROCUTION,78
BIHAR,88,4,5,80,62,2004,1,GAS CYLINDER/STOVE BURST,18
BIHAR,7,0,0,7,4,2004,0,FIRE-ARMS,3
BIHAR,78,7,22,60,17,2004,15,SUDDEN DEATHS(HEART ATTACKS),43
BIHAR,15,0,0,15,4,2004,0,EPILEPTIC FITS/GIDDINESS,11
BIHAR,3,0,0,3,3,2004,0,ABORTIONS/CHILD BIRTH,0
BIHAR,33,2,2,31,1,2004,0,INFLUENCE OF ALCOHOL,30
BIHAR,145,5,6,150,63,2004,1,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,87
BIHAR,62,5,8,61,22,2004,3,SNAKE BITE/ANIMAL BITE,39
BIHAR,108,16,24,110,48,2004,8,OTHER,62
BIHAR,752,4,7,798,125,2004,3,OTHER RAILWAY ACCIDENTS,673
BIHAR,246,10,16,291,102,2004,6,TOTAL DROWNING,189
BIHAR,69,8,12,67,22,2004,4,TOTAL FALLS,45
BIHAR,341,18,38,320,204,2004,20,TOTAL FIRE,116
BIHAR,129,9,24,109,25,2004,15,TOTAL SUDDEN DEATHS,84
BIHAR,506,33,96,492,206,2004,63,TOTAL POISONING,286
CHHATTISGARH,377,0,0,377,66,2004,0,ELECTROCUTION,311
CHHATTISGARH,11,0,0,11,8,2004,0,GAS CYLINDER/STOVE BURST,3
CHHATTISGARH,10,0,0,10,1,2004,0,FIRE-ARMS,9
CHHATTISGARH,198,0,0,198,35,2004,0,SUDDEN DEATHS(HEART ATTACKS),163
CHHATTISGARH,80,0,0,80,28,2004,0,EPILEPTIC FITS/GIDDINESS,52
CHHATTISGARH,25,0,0,25,25,2004,0,ABORTIONS/CHILD BIRTH,0
CHHATTISGARH,166,0,0,166,21,2004,0,INFLUENCE OF ALCOHOL,145
CHHATTISGARH,356,0,0,356,124,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,232
CHHATTISGARH,767,0,0,767,312,2004,0,SNAKE BITE/ANIMAL BITE,455
CHHATTISGARH,170,0,0,170,65,2004,0,OTHER,105
CHHATTISGARH,330,0,0,330,43,2004,0,OTHER RAILWAY ACCIDENTS,287
CHHATTISGARH,1348,0,0,1350,430,2004,0,TOTAL DROWNING,920
CHHATTISGARH,306,5,7,306,59,2004,2,TOTAL FALLS,247
CHHATTISGARH,487,0,0,485,337,2004,0,TOTAL FIRE,148
CHHATTISGARH,469,0,0,469,109,2004,0,TOTAL SUDDEN DEATHS,360
CHHATTISGARH,1299,0,0,1299,503,2004,0,TOTAL POISONING,796
GOA,22,0,0,22,1,2004,0,ELECTROCUTION,21
GOA,11,0,0,14,10,2004,0,GAS CYLINDER/STOVE BURST,4
GOA,0,0,0,0,0,2004,0,FIRE-ARMS,0
GOA,36,0,0,36,8,2004,0,SUDDEN DEATHS(HEART ATTACKS),28
GOA,9,0,0,9,2,2004,0,EPILEPTIC FITS/GIDDINESS,7
GOA,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
GOA,13,0,0,13,1,2004,0,INFLUENCE OF ALCOHOL,12
GOA,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
GOA,5,0,0,5,3,2004,0,SNAKE BITE/ANIMAL BITE,2
GOA,6,0,0,6,2,2004,0,OTHER,4
GOA,26,0,0,26,2,2004,0,OTHER RAILWAY ACCIDENTS,24
GOA,163,0,0,166,14,2004,0,TOTAL DROWNING,152
GOA,86,0,0,86,8,2004,0,TOTAL FALLS,78
GOA,50,0,0,53,38,2004,0,TOTAL FIRE,15
GOA,58,0,0,58,11,2004,0,TOTAL SUDDEN DEATHS,47
GOA,11,0,0,11,5,2004,0,TOTAL POISONING,6
GUJARAT,488,11,13,483,105,2004,2,ELECTROCUTION,378
GUJARAT,586,18,69,523,410,2004,51,GAS CYLINDER/STOVE BURST,113
GUJARAT,1,1,1,0,0,2004,0,FIRE-ARMS,0
GUJARAT,1068,0,0,1068,119,2004,0,SUDDEN DEATHS(HEART ATTACKS),949
GUJARAT,436,0,0,436,68,2004,0,EPILEPTIC FITS/GIDDINESS,368
GUJARAT,26,0,0,26,24,2004,0,ABORTIONS/CHILD BIRTH,2
GUJARAT,32,0,0,34,2,2004,0,INFLUENCE OF ALCOHOL,32
GUJARAT,402,39,63,339,128,2004,24,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,211
GUJARAT,548,60,108,440,174,2004,48,SNAKE BITE/ANIMAL BITE,266
GUJARAT,262,7,7,256,80,2004,0,OTHER,176
GUJARAT,1048,0,0,1048,116,2004,0,OTHER RAILWAY ACCIDENTS,932
GUJARAT,1368,1,1,1406,264,2004,0,TOTAL DROWNING,1142
GUJARAT,936,48,56,883,145,2004,8,TOTAL FALLS,738
GUJARAT,2276,31,90,2208,1569,2004,59,TOTAL FIRE,639
GUJARAT,1562,0,0,1564,213,2004,0,TOTAL SUDDEN DEATHS,1351
GUJARAT,1276,108,182,1098,395,2004,74,TOTAL POISONING,703
HARYANA,186,0,0,186,14,2004,0,ELECTROCUTION,172
HARYANA,144,0,0,144,96,2004,0,GAS CYLINDER/STOVE BURST,48
HARYANA,13,1,1,10,1,2004,0,FIRE-ARMS,9
HARYANA,257,0,0,257,26,2004,0,SUDDEN DEATHS(HEART ATTACKS),231
HARYANA,57,0,0,57,4,2004,0,EPILEPTIC FITS/GIDDINESS,53
HARYANA,19,0,0,19,19,2004,0,ABORTIONS/CHILD BIRTH,0
HARYANA,92,0,0,92,0,2004,0,INFLUENCE OF ALCOHOL,92
HARYANA,273,0,0,276,75,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,201
HARYANA,42,0,0,42,2,2004,0,SNAKE BITE/ANIMAL BITE,40
HARYANA,411,0,0,411,90,2004,0,OTHER,321
HARYANA,1293,0,0,1293,147,2004,0,OTHER RAILWAY ACCIDENTS,1146
HARYANA,300,0,0,300,49,2004,0,TOTAL DROWNING,251
HARYANA,194,0,0,194,23,2004,0,TOTAL FALLS,171
HARYANA,319,0,0,320,172,2004,0,TOTAL FIRE,148
HARYANA,425,0,0,425,49,2004,0,TOTAL SUDDEN DEATHS,376
HARYANA,774,0,0,777,169,2004,0,TOTAL POISONING,608
HIMACHAL PRADESH,12,0,0,13,2,2004,0,ELECTROCUTION,11
HIMACHAL PRADESH,4,0,0,4,4,2004,0,GAS CYLINDER/STOVE BURST,0
HIMACHAL PRADESH,1,0,0,1,0,2004,0,FIRE-ARMS,1
HIMACHAL PRADESH,123,0,0,123,11,2004,0,SUDDEN DEATHS(HEART ATTACKS),112
HIMACHAL PRADESH,13,0,0,13,1,2004,0,EPILEPTIC FITS/GIDDINESS,12
HIMACHAL PRADESH,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
HIMACHAL PRADESH,49,0,0,49,0,2004,0,INFLUENCE OF ALCOHOL,49
HIMACHAL PRADESH,93,0,0,93,33,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,60
HIMACHAL PRADESH,6,0,0,6,1,2004,0,SNAKE BITE/ANIMAL BITE,5
HIMACHAL PRADESH,91,0,0,91,16,2004,0,OTHER,75
HIMACHAL PRADESH,18,0,0,18,1,2004,0,OTHER RAILWAY ACCIDENTS,17
HIMACHAL PRADESH,106,0,0,107,14,2004,0,TOTAL DROWNING,93
HIMACHAL PRADESH,180,0,0,180,17,2004,0,TOTAL FALLS,163
HIMACHAL PRADESH,39,1,1,39,16,2004,0,TOTAL FIRE,23
HIMACHAL PRADESH,185,0,0,185,12,2004,0,TOTAL SUDDEN DEATHS,173
HIMACHAL PRADESH,194,0,0,194,50,2004,0,TOTAL POISONING,144
JAMMU & KASHMIR,22,14,15,19,3,2004,1,ELECTROCUTION,16
JAMMU & KASHMIR,14,2,2,12,4,2004,0,GAS CYLINDER/STOVE BURST,8
JAMMU & KASHMIR,509,408,461,372,30,2004,53,FIRE-ARMS,342
JAMMU & KASHMIR,73,0,0,73,12,2004,0,SUDDEN DEATHS(HEART ATTACKS),61
JAMMU & KASHMIR,3,2,2,1,0,2004,0,EPILEPTIC FITS/GIDDINESS,1
JAMMU & KASHMIR,5,0,0,5,5,2004,0,ABORTIONS/CHILD BIRTH,0
JAMMU & KASHMIR,8,1,1,7,0,2004,0,INFLUENCE OF ALCOHOL,7
JAMMU & KASHMIR,19,2,2,18,12,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,6
JAMMU & KASHMIR,5,0,0,5,1,2004,0,SNAKE BITE/ANIMAL BITE,4
JAMMU & KASHMIR,19,10,13,19,9,2004,3,OTHER,10
JAMMU & KASHMIR,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
JAMMU & KASHMIR,27,2,2,27,7,2004,0,TOTAL DROWNING,20
JAMMU & KASHMIR,42,4,6,41,10,2004,2,TOTAL FALLS,31
JAMMU & KASHMIR,31,5,5,23,10,2004,0,TOTAL FIRE,13
JAMMU & KASHMIR,89,3,3,86,17,2004,0,TOTAL SUDDEN DEATHS,69
JAMMU & KASHMIR,45,14,17,42,22,2004,3,TOTAL POISONING,20
JHARKHAND,15,0,0,15,3,2004,0,ELECTROCUTION,12
JHARKHAND,28,0,0,28,20,2004,0,GAS CYLINDER/STOVE BURST,8
JHARKHAND,1,1,1,1,0,2004,0,FIRE-ARMS,1
JHARKHAND,15,0,0,15,4,2004,0,SUDDEN DEATHS(HEART ATTACKS),11
JHARKHAND,3,0,0,3,1,2004,0,EPILEPTIC FITS/GIDDINESS,2
JHARKHAND,4,0,0,4,4,2004,0,ABORTIONS/CHILD BIRTH,0
JHARKHAND,22,1,2,20,6,2004,1,INFLUENCE OF ALCOHOL,14
JHARKHAND,10,0,0,10,3,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,7
JHARKHAND,18,1,3,15,6,2004,2,SNAKE BITE/ANIMAL BITE,9
JHARKHAND,0,0,0,0,0,2004,0,OTHER,0
JHARKHAND,142,75,147,137,19,2004,72,OTHER RAILWAY ACCIDENTS,118
JHARKHAND,30,2,2,30,4,2004,0,TOTAL DROWNING,26
JHARKHAND,48,3,4,46,10,2004,1,TOTAL FALLS,36
JHARKHAND,120,3,5,119,77,2004,2,TOTAL FIRE,42
JHARKHAND,44,1,2,42,15,2004,1,TOTAL SUDDEN DEATHS,27
JHARKHAND,38,2,4,34,13,2004,2,TOTAL POISONING,21
KARNATAKA,288,9,9,292,29,2004,0,ELECTROCUTION,263
KARNATAKA,227,0,4,229,182,2004,4,GAS CYLINDER/STOVE BURST,47
KARNATAKA,9,0,0,9,4,2004,0,FIRE-ARMS,5
KARNATAKA,407,0,0,410,36,2004,0,SUDDEN DEATHS(HEART ATTACKS),374
KARNATAKA,36,0,0,42,6,2004,0,EPILEPTIC FITS/GIDDINESS,36
KARNATAKA,2,0,0,2,2,2004,0,ABORTIONS/CHILD BIRTH,0
KARNATAKA,265,0,0,269,10,2004,0,INFLUENCE OF ALCOHOL,259
KARNATAKA,119,0,0,121,44,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,77
KARNATAKA,438,2,2,445,150,2004,0,SNAKE BITE/ANIMAL BITE,295
KARNATAKA,1087,0,0,1085,326,2004,0,OTHER,759
KARNATAKA,655,0,0,655,118,2004,0,OTHER RAILWAY ACCIDENTS,537
KARNATAKA,1434,15,25,1485,446,2004,10,TOTAL DROWNING,1039
KARNATAKA,411,8,13,416,31,2004,5,TOTAL FALLS,385
KARNATAKA,1207,3,7,1199,812,2004,4,TOTAL FIRE,387
KARNATAKA,710,0,0,723,54,2004,0,TOTAL SUDDEN DEATHS,669
KARNATAKA,1667,2,2,1674,525,2004,0,TOTAL POISONING,1149
KERALA,158,2,2,157,27,2004,0,ELECTROCUTION,130
KERALA,23,0,3,24,20,2004,3,GAS CYLINDER/STOVE BURST,4
KERALA,0,0,0,0,0,2004,0,FIRE-ARMS,0
KERALA,688,0,0,688,58,2004,0,SUDDEN DEATHS(HEART ATTACKS),630
KERALA,61,0,0,61,13,2004,0,EPILEPTIC FITS/GIDDINESS,48
KERALA,11,0,0,11,11,2004,0,ABORTIONS/CHILD BIRTH,0
KERALA,68,6,6,68,0,2004,0,INFLUENCE OF ALCOHOL,68
KERALA,26,0,0,26,10,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,16
KERALA,29,1,1,28,5,2004,0,SNAKE BITE/ANIMAL BITE,23
KERALA,144,2,6,140,26,2004,4,OTHER,114
KERALA,261,6,9,255,43,2004,3,OTHER RAILWAY ACCIDENTS,212
KERALA,1319,14,19,1352,287,2004,5,TOTAL DROWNING,1065
KERALA,535,15,22,535,35,2004,7,TOTAL FALLS,500
KERALA,238,2,6,242,166,2004,4,TOTAL FIRE,76
KERALA,828,6,6,828,82,2004,0,TOTAL SUDDEN DEATHS,746
KERALA,200,16,20,197,41,2004,4,TOTAL POISONING,156
MADHYA PRADESH,1011,17,25,995,192,2004,8,ELECTROCUTION,803
MADHYA PRADESH,192,3,10,189,147,2004,7,GAS CYLINDER/STOVE BURST,42
MADHYA PRADESH,156,49,51,109,10,2004,2,FIRE-ARMS,99
MADHYA PRADESH,642,0,0,642,104,2004,0,SUDDEN DEATHS(HEART ATTACKS),538
MADHYA PRADESH,106,0,0,108,35,2004,0,EPILEPTIC FITS/GIDDINESS,73
MADHYA PRADESH,117,0,0,117,117,2004,0,ABORTIONS/CHILD BIRTH,0
MADHYA PRADESH,278,5,5,275,7,2004,0,INFLUENCE OF ALCOHOL,268
MADHYA PRADESH,2132,59,75,2125,870,2004,16,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1255
MADHYA PRADESH,1626,25,52,1582,645,2004,27,SNAKE BITE/ANIMAL BITE,937
MADHYA PRADESH,364,3,6,364,143,2004,3,OTHER,221
MADHYA PRADESH,1261,0,0,1261,165,2004,0,OTHER RAILWAY ACCIDENTS,1096
MADHYA PRADESH,3584,37,57,3584,1249,2004,20,TOTAL DROWNING,2335
MADHYA PRADESH,747,16,24,731,159,2004,8,TOTAL FALLS,572
MADHYA PRADESH,1931,38,88,1883,1356,2004,50,TOTAL FIRE,527
MADHYA PRADESH,1143,5,5,1142,263,2004,0,TOTAL SUDDEN DEATHS,879
MADHYA PRADESH,4172,89,135,4119,1670,2004,46,TOTAL POISONING,2449
MAHARASHTRA,1047,60,83,975,122,2004,23,ELECTROCUTION,853
MAHARASHTRA,157,12,13,150,122,2004,1,GAS CYLINDER/STOVE BURST,28
MAHARASHTRA,16,2,2,17,0,2004,0,FIRE-ARMS,17
MAHARASHTRA,4428,120,148,4280,651,2004,28,SUDDEN DEATHS(HEART ATTACKS),3629
MAHARASHTRA,1413,217,295,1118,254,2004,78,EPILEPTIC FITS/GIDDINESS,864
MAHARASHTRA,267,0,1,266,266,2004,1,ABORTIONS/CHILD BIRTH,0
MAHARASHTRA,1211,83,88,1123,19,2004,5,INFLUENCE OF ALCOHOL,1104
MAHARASHTRA,2842,843,1523,1487,466,2004,680,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1021
MAHARASHTRA,1572,331,556,1025,341,2004,225,SNAKE BITE/ANIMAL BITE,684
MAHARASHTRA,37,13,18,25,8,2004,5,OTHER,17
MAHARASHTRA,7696,2487,2808,4900,533,2004,321,OTHER RAILWAY ACCIDENTS,4367
MAHARASHTRA,4644,24,36,4719,1414,2004,12,TOTAL DROWNING,3305
MAHARASHTRA,2589,458,624,2005,302,2004,166,TOTAL FALLS,1703
MAHARASHTRA,5661,511,1164,4679,3362,2004,653,TOTAL FIRE,1317
MAHARASHTRA,7319,420,532,6787,1190,2004,112,TOTAL SUDDEN DEATHS,5597
MAHARASHTRA,4541,1187,2097,2627,817,2004,910,TOTAL POISONING,1810
MANIPUR,10,0,0,11,1,2004,0,ELECTROCUTION,10
MANIPUR,0,0,0,0,0,2004,0,GAS CYLINDER/STOVE BURST,0
MANIPUR,1,1,1,1,0,2004,0,FIRE-ARMS,1
MANIPUR,10,0,0,10,1,2004,0,SUDDEN DEATHS(HEART ATTACKS),9
MANIPUR,0,0,0,0,0,2004,0,EPILEPTIC FITS/GIDDINESS,0
MANIPUR,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
MANIPUR,0,0,0,0,0,2004,0,INFLUENCE OF ALCOHOL,0
MANIPUR,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
MANIPUR,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
MANIPUR,15,0,0,15,1,2004,0,OTHER,14
MANIPUR,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
MANIPUR,16,0,0,16,2,2004,0,TOTAL DROWNING,14
MANIPUR,2,0,0,2,0,2004,0,TOTAL FALLS,2
MANIPUR,3,0,0,3,3,2004,0,TOTAL FIRE,0
MANIPUR,10,0,0,10,1,2004,0,TOTAL SUDDEN DEATHS,9
MANIPUR,15,0,0,15,1,2004,0,TOTAL POISONING,14
MEGHALAYA,9,0,0,9,1,2004,0,ELECTROCUTION,8
MEGHALAYA,1,1,1,1,0,2004,0,GAS CYLINDER/STOVE BURST,1
MEGHALAYA,10,0,0,10,0,2004,0,FIRE-ARMS,10
MEGHALAYA,5,0,0,5,0,2004,0,SUDDEN DEATHS(HEART ATTACKS),5
MEGHALAYA,10,0,0,10,1,2004,0,EPILEPTIC FITS/GIDDINESS,9
MEGHALAYA,0,0,0,0,0,2004,0,ABORTIONS/CHILD BIRTH,0
MEGHALAYA,3,0,0,3,0,2004,0,INFLUENCE OF ALCOHOL,3
MEGHALAYA,0,0,0,0,0,2004,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0
MEGHALAYA,0,0,0,0,0,2004,0,SNAKE BITE/ANIMAL BITE,0
MEGHALAYA,0,0,0,0,0,2004,0,OTHER,0
MEGHALAYA,0,0,0,0,0,2004,0,OTHER RAILWAY ACCIDENTS,0
MEGHALAYA,18,4,4,18,1,2004,0,TOTAL DROWNING,17
MEGHALAYA,13,0,0,13,1,2004,0,TOTAL FALLS,12
MEGHALAYA,10,1,1,10,5,2004,0,TOTAL FIRE,5
MEGHALAYA,18,0,0,18,1,2004,0,TOTAL SUDDEN DEATHS,17
MEGHALAYA,0,0,0,0,0,2004,0,TOTAL POISONING,0
MIZORAM,5,0,0,5,0,2004,0,ELECTROCUTION,5
MIZORAM,1,0,0,2,2,2004,0,GAS CYLINDER/STOVE BURST,0
MIZORAM,0,0,0,0,0,2004,0,FIRE-ARMS,0
