CASES,MALE KILLED,CAUSE,YEAR,FEMALE INJURED,TOTAL KILLED,STATE/UT,TOTAL INJURED,MALE INJURED,FEMALE KILLED
1318,1213,ELECTROCUTION,2006,0,1353,ANDHRA PRADESH,20,20,140
645,111,GAS CYLINDER/STOVE BURST,2006,9,648,ANDHRA PRADESH,15,6,537
4,6,FIRE-ARMS,2006,0,6,ANDHRA PRADESH,0,0,0
512,404,SUDDEN DEATHS(HEART ATTACKS),2006,1,509,ANDHRA PRADESH,4,3,105
148,115,EPILEPTIC FITS/GIDDINESS,2006,0,145,ANDHRA PRADESH,2,2,30
3,0,ABORTIONS/CHILD BIRTH,2006,0,3,ANDHRA PRADESH,0,0,3
342,319,INFLUENCE OF ALCOHOL,2006,0,346,ANDHRA PRADESH,4,4,27
132,78,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,126,ANDHRA PRADESH,6,6,48
888,675,SNAKE BITE/ANIMAL BITE,2006,0,889,ANDHRA PRADESH,7,7,214
524,314,OTHER,2006,3,481,ANDHRA PRADESH,48,45,167
1958,1723,RAILWAY ACCIDENTS,2006,17,1958,ANDHRA PRADESH,193,176,235
2339,1983,DROWNING,2006,4,2468,ANDHRA PRADESH,42,38,485
1264,1067,FALLS,2006,0,1266,ANDHRA PRADESH,9,9,199
1619,585,FIRE,2006,17,1632,ANDHRA PRADESH,44,27,1047
1005,838,SUDDEN DEATHS,2006,1,1003,ANDHRA PRADESH,10,9,165
1647,1155,POISONING,2006,3,1604,ANDHRA PRADESH,61,58,449
1,1,ELECTROCUTION,2006,0,1,ARUNACHAL PRADESH,0,0,0
0,0,GAS CYLINDER/STOVE BURST,2006,0,0,ARUNACHAL PRADESH,0,0,0
3,3,FIRE-ARMS,2006,0,3,ARUNACHAL PRADESH,0,0,0
6,5,SUDDEN DEATHS(HEART ATTACKS),2006,0,6,ARUNACHAL PRADESH,0,0,1
0,0,EPILEPTIC FITS/GIDDINESS,2006,0,0,ARUNACHAL PRADESH,0,0,0
0,0,ABORTIONS/CHILD BIRTH,2006,0,0,ARUNACHAL PRADESH,0,0,0
1,1,INFLUENCE OF ALCOHOL,2006,0,1,ARUNACHAL PRADESH,0,0,0
0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2006,0,0,ARUNACHAL PRADESH,0,0,0
0,0,SNAKE BITE/ANIMAL BITE,2006,0,0,ARUNACHAL PRADESH,0,0,0
