TOTAL KILLED,CASES,FEMALE KILLED,CAUSE,YEAR,MALE INJURED,MALE KILLED,TOTAL INJURED,STATE/UT,FEMALE INJURED
1418,1426,181,ELECTROCUTION,2007,6,1237,6,ANDHRA PRADESH,0
769,698,585,GAS CYLINDER/STOVE BURST,2007,3,184,14,ANDHRA PRADESH,11
2,2,0,FIRE-ARMS,2007,0,2,0,ANDHRA PRADESH,0
317,317,51,SUDDEN DEATHS(HEART ATTACKS),2007,0,266,0,ANDHRA PRADESH,0
147,145,30,EPILEPTIC FITS/GIDDINESS,2007,0,117,0,ANDHRA PRADESH,0
14,14,14,ABORTIONS/CHILD BIRTH,2007,0,0,0,ANDHRA PRADESH,0
287,322,15,INFLUENCE OF ALCOHOL,2007,0,272,0,ANDHRA PRADESH,0
329,327,106,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,30,223,49,ANDHRA PRADESH,19
900,895,234,SNAKE BITE/ANIMAL BITE,2007,0,666,0,ANDHRA PRADESH,0
622,605,142,OTHER,2007,50,480,61,ANDHRA PRADESH,11
2074,2074,287,RAILWAY ACCIDENTS,2007,150,1787,184,ANDHRA PRADESH,34
2617,2406,516,DROWNING,2007,10,2101,13,ANDHRA PRADESH,3
1365,1351,193,FALLS,2007,7,1172,8,ANDHRA PRADESH,1
1844,1764,1174,FIRE,2007,11,670,29,ANDHRA PRADESH,18
765,798,110,SUDDEN DEATHS,2007,0,655,0,ANDHRA PRADESH,0
1945,1918,504,POISONING,2007,80,1441,110,ANDHRA PRADESH,30
3,4,0,ELECTROCUTION,2007,0,3,1,ARUNACHAL PRADESH,1
1,1,0,GAS CYLINDER/STOVE BURST,2007,0,1,0,ARUNACHAL PRADESH,0
16,7,2,FIRE-ARMS,2007,0,14,0,ARUNACHAL PRADESH,0
5,5,1,SUDDEN DEATHS(HEART ATTACKS),2007,0,4,0,ARUNACHAL PRADESH,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,ARUNACHAL PRADESH,0
0,0,0,ABORTIONS/CHILD BIRTH,2007,0,0,0,ARUNACHAL PRADESH,0
3,3,1,INFLUENCE OF ALCOHOL,2007,0,2,0,ARUNACHAL PRADESH,0
0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,0,0,0,ARUNACHAL PRADESH,0
0,0,0,SNAKE BITE/ANIMAL BITE,2007,0,0,0,ARUNACHAL PRADESH,0
29,26,5,OTHER,2007,0,24,0,ARUNACHAL PRADESH,0
0,0,0,RAILWAY ACCIDENTS,2007,0,0,0,ARUNACHAL PRADESH,0
15,15,1,DROWNING,2007,0,14,0,ARUNACHAL PRADESH,0
12,13,1,FALLS,2007,0,11,0,ARUNACHAL PRADESH,0
10,9,5,FIRE,2007,0,5,0,ARUNACHAL PRADESH,0
8,8,2,SUDDEN DEATHS,2007,0,6,0,ARUNACHAL PRADESH,0
29,26,5,POISONING,2007,0,24,0,ARUNACHAL PRADESH,0
42,42,5,ELECTROCUTION,2007,0,37,0,ASSAM,0
8,8,8,GAS CYLINDER/STOVE BURST,2007,0,0,0,ASSAM,0
13,13,0,FIRE-ARMS,2007,0,13,0,ASSAM,0
32,32,4,SUDDEN DEATHS(HEART ATTACKS),2007,0,28,0,ASSAM,0
0,0,0,EPILEPTIC FITS/GIDDINESS,2007,0,0,0,ASSAM,0
6,6,6,ABORTIONS/CHILD BIRTH,2007,0,0,0,ASSAM,0
2,2,0,INFLUENCE OF ALCOHOL,2007,0,2,0,ASSAM,0
43,46,16,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2007,1,27,4,ASSAM,3
10,10,3,SNAKE BITE/ANIMAL BITE,2007,0,7,2,ASSAM,2
208,203,88,OTHER,2007,0,120,0,ASSAM,0
399,247,33,RAILWAY ACCIDENTS,2007,14,366,29,ASSAM,15
392,373,109,DROWNING,2007,2,283,4,ASSAM,2
27,26,1,FALLS,2007,0,26,0,ASSAM,0
105,93,70,FIRE,2007,1,35,1,ASSAM,0
40,40,10,SUDDEN DEATHS,2007,0,30,0,ASSAM,0
265,261,107,POISONING,2007,1,158,7,ASSAM,6
97,117,15,ELECTROCUTION,2007,9,82,11,BIHAR,2
111,102,79,GAS CYLINDER/STOVE BURST,2007,15,32,42,BIHAR,27
34,37,14,FIRE-ARMS,2007,4,20,8,BIHAR,4
70,76,20,SUDDEN DEATHS(HEART ATTACKS),2007,11,50,20,BIHAR,9
14,18,4,EPILEPTIC FITS/GIDDINESS,2007,0,10,0,BIHAR,0
5,5,5,ABORTIONS/CHILD BIRTH,2007,0,0,0,BIHAR,0
