MALE KILLED,CASES,YEAR,MALE INJURED,TOTAL KILLED,STATE/UT,FEMALE KILLED,CAUSE,FEMALE INJURED,TOTAL INJURED
1267,1532,2008,12,1480,ANDHRA PRADESH,213,ELECTROCUTION,10,22
105,613,2008,13,622,ANDHRA PRADESH,517,GAS CYLINDER/STOVE BURST,23,36
10,11,2008,1,12,ANDHRA PRADESH,2,FIRE-ARMS,0,1
365,410,2008,0,438,ANDHRA PRADESH,73,SUDDEN DEATHS(HEART ATTACKS),0,0
128,156,2008,0,159,ANDHRA PRADESH,31,EPILEPTIC FITS/GIDDINESS,0,0
0,6,2008,0,6,ANDHRA PRADESH,6,ABORTIONS/CHILD BIRTH,0,0
230,234,2008,0,243,ANDHRA PRADESH,13,INFLUENCE OF ALCOHOL,0,0
219,308,2008,3,317,ANDHRA PRADESH,98,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,3
629,883,2008,14,882,ANDHRA PRADESH,253,SNAKE BITE/ANIMAL BITE,11,25
448,583,2008,11,586,ANDHRA PRADESH,138,OTHER,15,26
1669,1945,2008,486,1943,ANDHRA PRADESH,274,OTHER RAILWAY ACCIDENTS,76,562
2063,2443,2008,15,2576,ANDHRA PRADESH,513,TOTAL DROWNING,6,21
1121,1246,2008,28,1265,ANDHRA PRADESH,144,TOTAL FALLS,6,34
574,1668,2008,39,1758,ANDHRA PRADESH,1184,TOTAL FIRE,42,81
723,806,2008,0,846,ANDHRA PRADESH,123,TOTAL SUDDEN DEATHS,0,0
1341,1825,2008,28,1840,ANDHRA PRADESH,499,TOTAL POISONING,26,54
3,3,2008,0,3,ARUNACHAL PRADESH,0,ELECTROCUTION,0,0
1,1,2008,0,1,ARUNACHAL PRADESH,0,GAS CYLINDER/STOVE BURST,0,0
4,3,2008,0,4,ARUNACHAL PRADESH,0,FIRE-ARMS,0,0
10,12,2008,0,12,ARUNACHAL PRADESH,2,SUDDEN DEATHS(HEART ATTACKS),0,0
0,0,2008,0,0,ARUNACHAL PRADESH,0,EPILEPTIC FITS/GIDDINESS,0,0
0,0,2008,0,0,ARUNACHAL PRADESH,0,ABORTIONS/CHILD BIRTH,0,0
5,5,2008,0,5,ARUNACHAL PRADESH,0,INFLUENCE OF ALCOHOL,0,0
0,0,2008,0,0,ARUNACHAL PRADESH,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
1,1,2008,0,1,ARUNACHAL PRADESH,0,SNAKE BITE/ANIMAL BITE,0,0
22,10,2008,0,26,ARUNACHAL PRADESH,4,OTHER,0,0
0,0,2008,0,0,ARUNACHAL PRADESH,0,OTHER RAILWAY ACCIDENTS,0,0
15,16,2008,0,18,ARUNACHAL PRADESH,3,TOTAL DROWNING,0,0
20,21,2008,1,21,ARUNACHAL PRADESH,1,TOTAL FALLS,0,1
8,7,2008,0,8,ARUNACHAL PRADESH,0,TOTAL FIRE,0,0
15,17,2008,0,17,ARUNACHAL PRADESH,2,TOTAL SUDDEN DEATHS,0,0
23,11,2008,0,27,ARUNACHAL PRADESH,4,TOTAL POISONING,0,0
38,46,2008,0,46,ASSAM,8,ELECTROCUTION,0,0
1,13,2008,0,13,ASSAM,12,GAS CYLINDER/STOVE BURST,0,0
15,16,2008,0,16,ASSAM,1,FIRE-ARMS,0,0
26,35,2008,1,34,ASSAM,8,SUDDEN DEATHS(HEART ATTACKS),0,1
0,0,2008,0,0,ASSAM,0,EPILEPTIC FITS/GIDDINESS,0,0
0,9,2008,0,9,ASSAM,9,ABORTIONS/CHILD BIRTH,0,0
1,2,2008,0,2,ASSAM,1,INFLUENCE OF ALCOHOL,0,0
16,24,2008,0,24,ASSAM,8,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
7,8,2008,0,8,ASSAM,1,SNAKE BITE/ANIMAL BITE,0,0
115,180,2008,0,184,ASSAM,69,OTHER,0,0
279,303,2008,0,428,ASSAM,149,OTHER RAILWAY ACCIDENTS,0,0
278,352,2008,0,392,ASSAM,114,TOTAL DROWNING,2,2
35,37,2008,0,39,ASSAM,4,TOTAL FALLS,0,0
65,127,2008,0,146,ASSAM,81,TOTAL FIRE,0,0
27,46,2008,1,45,ASSAM,18,TOTAL SUDDEN DEATHS,0,1
147,215,2008,0,226,ASSAM,79,TOTAL POISONING,0,0
90,94,2008,3,102,BIHAR,12,ELECTROCUTION,0,3
25,112,2008,2,113,BIHAR,88,GAS CYLINDER/STOVE BURST,9,11
20,29,2008,2,35,BIHAR,15,FIRE-ARMS,1,3
55,61,2008,8,61,BIHAR,6,SUDDEN DEATHS(HEART ATTACKS),1,9
32,37,2008,3,40,BIHAR,8,EPILEPTIC FITS/GIDDINESS,1,4
0,7,2008,0,7,BIHAR,7,ABORTIONS/CHILD BIRTH,0,0
98,96,2008,12,99,BIHAR,1,INFLUENCE OF ALCOHOL,0,12
129,241,2008,24,231,BIHAR,102,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,7,31
29,48,2008,2,48,BIHAR,19,SNAKE BITE/ANIMAL BITE,0,2
111,186,2008,25,170,BIHAR,59,OTHER,25,50
988,1197,2008,21,1227,BIHAR,239,OTHER RAILWAY ACCIDENTS,0,21
285,359,2008,20,372,BIHAR,87,TOTAL DROWNING,8,28
102,138,2008,10,134,BIHAR,32,TOTAL FALLS,2,12
185,536,2008,42,549,BIHAR,364,TOTAL FIRE,50,92
185,201,2008,23,207,BIHAR,22,TOTAL SUDDEN DEATHS,2,25
337,567,2008,52,543,BIHAR,206,TOTAL POISONING,32,84
303,361,2008,0,361,CHHATTISGARH,58,ELECTROCUTION,0,0
3,9,2008,0,10,CHHATTISGARH,7,GAS CYLINDER/STOVE BURST,0,0
50,51,2008,0,58,CHHATTISGARH,8,FIRE-ARMS,0,0
184,227,2008,0,227,CHHATTISGARH,43,SUDDEN DEATHS(HEART ATTACKS),0,0
59,78,2008,0,78,CHHATTISGARH,19,EPILEPTIC FITS/GIDDINESS,0,0
0,39,2008,0,39,CHHATTISGARH,39,ABORTIONS/CHILD BIRTH,0,0
169,193,2008,0,190,CHHATTISGARH,21,INFLUENCE OF ALCOHOL,0,0
236,365,2008,0,388,CHHATTISGARH,152,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0
