CAUSE,FEMALE KILLED,FEMALE INJURED,CASES,STATE/UT,TOTAL INJURED,MALE KILLED,MALE INJURED,YEAR,TOTAL KILLED
ELECTROCUTION,199,6,1339,ANDHRA PRADESH,11,1149,5,2009,1348
GAS CYLINDER/STOVE BURST,424,16,514,ANDHRA PRADESH,16,104,0,2009,528
FIRE-ARMS,1,0,11,ANDHRA PRADESH,0,10,0,2009,11
SUDDEN DEATHS(HEART ATTACKS),84,0,490,ANDHRA PRADESH,0,406,0,2009,490
EPILEPTIC FITS/GIDDINESS,16,0,91,ANDHRA PRADESH,1,73,1,2009,89
ABORTIONS/CHILD BIRTH,4,0,4,ANDHRA PRADESH,0,0,0,2009,4
INFLUENCE OF ALCOHOL,26,0,251,ANDHRA PRADESH,0,235,0,2009,261
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,96,0,296,ANDHRA PRADESH,0,204,0,2009,300
SNAKE BITE/ANIMAL BITE,250,2,803,ANDHRA PRADESH,7,554,5,2009,804
OTHER,257,3,890,ANDHRA PRADESH,6,670,3,2009,927
RAILWAY ACCIDENTS,174,1,1402,ANDHRA PRADESH,3,1230,2,2009,1404
DROWNING,508,4,2194,ANDHRA PRADESH,23,1769,19,2009,2277
FALLS,170,4,1289,ANDHRA PRADESH,31,1103,27,2009,1273
FIRE,1080,37,1649,ANDHRA PRADESH,66,590,29,2009,1670
SUDDEN DEATHS,130,0,836,ANDHRA PRADESH,1,714,1,2009,844
POISONING,624,5,2074,ANDHRA PRADESH,14,1491,9,2009,2115
ELECTROCUTION,0,0,3,ARUNACHAL PRADESH,0,3,0,2009,3
GAS CYLINDER/STOVE BURST,0,0,1,ARUNACHAL PRADESH,0,1,0,2009,1
FIRE-ARMS,0,0,3,ARUNACHAL PRADESH,0,4,0,2009,4
SUDDEN DEATHS(HEART ATTACKS),2,0,12,ARUNACHAL PRADESH,0,10,0,2009,12
EPILEPTIC FITS/GIDDINESS,0,0,0,ARUNACHAL PRADESH,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,0,0,0,ARUNACHAL PRADESH,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,5,ARUNACHAL PRADESH,0,5,0,2009,5
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,ARUNACHAL PRADESH,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,0,0,1,ARUNACHAL PRADESH,0,1,0,2009,1
OTHER,4,0,10,ARUNACHAL PRADESH,0,22,0,2009,26
RAILWAY ACCIDENTS,0,0,0,ARUNACHAL PRADESH,0,0,0,2009,0
DROWNING,3,0,16,ARUNACHAL PRADESH,0,15,0,2009,18
FALLS,1,0,21,ARUNACHAL PRADESH,1,20,1,2009,21
FIRE,0,0,7,ARUNACHAL PRADESH,0,8,0,2009,8
SUDDEN DEATHS,2,0,17,ARUNACHAL PRADESH,0,15,0,2009,17
POISONING,4,0,11,ARUNACHAL PRADESH,0,23,0,2009,27
ELECTROCUTION,4,0,50,ASSAM,0,47,0,2009,51
GAS CYLINDER/STOVE BURST,7,0,9,ASSAM,0,2,0,2009,9
FIRE-ARMS,4,1,16,ASSAM,4,16,3,2009,20
SUDDEN DEATHS(HEART ATTACKS),3,0,19,ASSAM,0,16,0,2009,19
EPILEPTIC FITS/GIDDINESS,0,0,0,ASSAM,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,8,0,8,ASSAM,0,0,0,2009,8
INFLUENCE OF ALCOHOL,0,0,3,ASSAM,0,8,0,2009,8
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,4,15,ASSAM,12,10,8,2009,15
SNAKE BITE/ANIMAL BITE,2,0,4,ASSAM,0,2,0,2009,4
OTHER,58,0,111,ASSAM,1,77,1,2009,135
RAILWAY ACCIDENTS,48,0,425,ASSAM,0,377,0,2009,425
DROWNING,62,0,278,ASSAM,0,243,0,2009,305
FALLS,2,0,28,ASSAM,0,26,0,2009,28
FIRE,74,0,106,ASSAM,0,32,0,2009,106
SUDDEN DEATHS,11,0,30,ASSAM,0,24,0,2009,35
POISONING,68,4,137,ASSAM,13,118,9,2009,186
ELECTROCUTION,18,2,131,BIHAR,16,111,14,2009,129
GAS CYLINDER/STOVE BURST,111,14,149,BIHAR,18,40,4,2009,151
FIRE-ARMS,7,2,14,BIHAR,4,6,2,2009,13
SUDDEN DEATHS(HEART ATTACKS),33,6,135,BIHAR,17,88,11,2009,121
EPILEPTIC FITS/GIDDINESS,5,2,33,BIHAR,7,23,5,2009,28
ABORTIONS/CHILD BIRTH,7,0,7,BIHAR,0,0,0,2009,7
INFLUENCE OF ALCOHOL,5,0,78,BIHAR,6,75,6,2009,80
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,185,27,378,BIHAR,45,218,18,2009,403
SNAKE BITE/ANIMAL BITE,11,0,30,BIHAR,0,18,0,2009,29
OTHER,58,6,170,BIHAR,20,112,14,2009,170
RAILWAY ACCIDENTS,207,0,1134,BIHAR,0,927,0,2009,1134
DROWNING,128,6,280,BIHAR,25,240,19,2009,368
FALLS,22,2,105,BIHAR,12,86,10,2009,108
FIRE,384,45,540,BIHAR,97,178,52,2009,562
SUDDEN DEATHS,50,8,253,BIHAR,30,186,22,2009,236
POISONING,263,34,623,BIHAR,72,384,38,2009,647
ELECTROCUTION,81,4,449,CHHATTISGARH,11,368,7,2009,449
GAS CYLINDER/STOVE BURST,41,0,46,CHHATTISGARH,0,5,0,2009,46
FIRE-ARMS,2,0,84,CHHATTISGARH,1,82,1,2009,84
SUDDEN DEATHS(HEART ATTACKS),44,0,283,CHHATTISGARH,2,239,2,2009,283
EPILEPTIC FITS/GIDDINESS,15,3,69,CHHATTISGARH,11,61,8,2009,76
ABORTIONS/CHILD BIRTH,41,0,41,CHHATTISGARH,0,0,0,2009,41
INFLUENCE OF ALCOHOL,34,6,259,CHHATTISGARH,33,226,27,2009,260
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,222,0,571,CHHATTISGARH,0,352,0,2009,574
SNAKE BITE/ANIMAL BITE,315,1,759,CHHATTISGARH,7,437,6,2009,752
OTHER,99,7,357,CHHATTISGARH,10,255,3,2009,354
RAILWAY ACCIDENTS,86,5,459,CHHATTISGARH,14,371,9,2009,457
DROWNING,409,24,1368,CHHATTISGARH,51,960,27,2009,1369
FALLS,74,5,425,CHHATTISGARH,12,343,7,2009,417
FIRE,603,33,837,CHHATTISGARH,45,234,12,2009,837
SUDDEN DEATHS,134,9,652,CHHATTISGARH,46,526,37,2009,660
POISONING,638,8,1700,CHHATTISGARH,17,1055,9,2009,1693
ELECTROCUTION,4,0,24,GOA,0,21,0,2009,25
GAS CYLINDER/STOVE BURST,6,0,6,GOA,0,0,0,2009,6
FIRE-ARMS,0,0,0,GOA,0,0,0,2009,0
SUDDEN DEATHS(HEART ATTACKS),0,0,8,GOA,0,8,0,2009,8
EPILEPTIC FITS/GIDDINESS,0,0,0,GOA,0,0,0,2009,0
ABORTIONS/CHILD BIRTH,1,0,1,GOA,0,0,0,2009,1
INFLUENCE OF ALCOHOL,0,0,7,GOA,0,7,0,2009,7
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,GOA,0,0,0,2009,0
SNAKE BITE/ANIMAL BITE,3,0,5,GOA,0,2,0,2009,5
OTHER,1,0,2,GOA,0,1,0,2009,2
RAILWAY ACCIDENTS,4,0,40,GOA,0,36,0,2009,40
DROWNING,19,0,177,GOA,0,162,0,2009,181
FALLS,5,0,103,GOA,0,98,0,2009,103
FIRE,38,0,49,GOA,0,11,0,2009,49
SUDDEN DEATHS,1,0,16,GOA,0,15,0,2009,16
POISONING,4,0,7,GOA,0,3,0,2009,7
ELECTROCUTION,85,5,505,GUJARAT,14,413,9,2009,498
GAS CYLINDER/STOVE BURST,639,8,868,GUJARAT,19,219,11,2009,858
FIRE-ARMS,1,0,1,GUJARAT,0,0,0,2009,1
SUDDEN DEATHS(HEART ATTACKS),210,0,2004,GUJARAT,0,1795,0,2009,2005
EPILEPTIC FITS/GIDDINESS,91,0,512,GUJARAT,0,422,0,2009,513
ABORTIONS/CHILD BIRTH,33,1,33,GUJARAT,1,0,0,2009,33
INFLUENCE OF ALCOHOL,4,0,148,GUJARAT,0,170,0,2009,174
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,161,21,497,GUJARAT,47,298,26,2009,459
SNAKE BITE/ANIMAL BITE,232,82,756,GUJARAT,189,346,107,2009,578
OTHER,130,36,391,GUJARAT,54,208,18,2009,338
RAILWAY ACCIDENTS,138,0,1026,GUJARAT,0,885,0,2009,1023
DROWNING,331,5,1634,GUJARAT,22,1327,17,2009,1658
FALLS,192,17,1115,GUJARAT,63,883,46,2009,1075
FIRE,1608,58,2551,GUJARAT,110,859,52,2009,2467
SUDDEN DEATHS,338,1,2697,GUJARAT,1,2387,0,2009,2725
POISONING,553,139,1776,GUJARAT,290,954,151,2009,1507
ELECTROCUTION,14,0,343,HARYANA,0,329,0,2009,343
GAS CYLINDER/STOVE BURST,104,0,142,HARYANA,0,38,0,2009,142
FIRE-ARMS,4,0,31,HARYANA,0,27,0,2009,31
SUDDEN DEATHS(HEART ATTACKS),48,0,458,HARYANA,0,410,0,2009,458
EPILEPTIC FITS/GIDDINESS,9,0,53,HARYANA,0,44,0,2009,53
ABORTIONS/CHILD BIRTH,11,0,11,HARYANA,0,0,0,2009,11
INFLUENCE OF ALCOHOL,0,0,246,HARYANA,0,246,0,2009,246
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,96,0,324,HARYANA,0,228,0,2009,324
SNAKE BITE/ANIMAL BITE,7,0,72,HARYANA,0,65,0,2009,72
OTHER,45,0,188,HARYANA,0,143,0,2009,188
RAILWAY ACCIDENTS,115,0,1131,HARYANA,0,1016,0,2009,1131
DROWNING,77,0,605,HARYANA,0,529,0,2009,606
FALLS,30,0,247,HARYANA,0,217,0,2009,247
FIRE,247,0,423,HARYANA,0,176,0,2009,423
SUDDEN DEATHS,68,0,768,HARYANA,0,700,0,2009,768
POISONING,148,0,596,HARYANA,0,448,0,2009,596
ELECTROCUTION,0,0,19,HIMACHAL PRADESH,0,19,0,2009,19
GAS CYLINDER/STOVE BURST,7,0,10,HIMACHAL PRADESH,0,3,0,2009,10
FIRE-ARMS,0,0,2,HIMACHAL PRADESH,2,0,2,2009,0
SUDDEN DEATHS(HEART ATTACKS),9,0,135,HIMACHAL PRADESH,0,126,0,2009,135
EPILEPTIC FITS/GIDDINESS,0,0,2,HIMACHAL PRADESH,0,2,0,2009,2
ABORTIONS/CHILD BIRTH,2,0,2,HIMACHAL PRADESH,0,0,0,2009,2
INFLUENCE OF ALCOHOL,0,0,66,HIMACHAL PRADESH,0,66,0,2009,66
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,28,0,55,HIMACHAL PRADESH,0,27,0,2009,55
SNAKE BITE/ANIMAL BITE,9,1,20,HIMACHAL PRADESH,1,10,0,2009,19
OTHER,49,0,121,HIMACHAL PRADESH,0,87,0,2009,136
RAILWAY ACCIDENTS,4,0,15,HIMACHAL PRADESH,0,11,0,2009,15
DROWNING,35,0,121,HIMACHAL PRADESH,1,85,1,2009,120
FALLS,37,2,329,HIMACHAL PRADESH,2,290,0,2009,327
FIRE,43,0,87,HIMACHAL PRADESH,0,52,0,2009,95
SUDDEN DEATHS,11,0,205,HIMACHAL PRADESH,0,194,0,2009,205
POISONING,86,1,197,HIMACHAL PRADESH,1,125,0,2009,211
ELECTROCUTION,0,0,9,JAMMU & KASHMIR,3,8,3,2009,8
GAS CYLINDER/STOVE BURST,5,2,8,JAMMU & KASHMIR,2,1,0,2009,6
FIRE-ARMS,4,4,45,JAMMU & KASHMIR,23,31,19,2009,35
SUDDEN DEATHS(HEART ATTACKS),6,0,45,JAMMU & KASHMIR,0,41,0,2009,47
EPILEPTIC FITS/GIDDINESS,0,0,1,JAMMU & KASHMIR,0,1,0,2009,1
ABORTIONS/CHILD BIRTH,0,0,0,JAMMU & KASHMIR,0,0,0,2009,0
INFLUENCE OF ALCOHOL,0,0,16,JAMMU & KASHMIR,0,16,0,2009,16
