CAUSE,FEMALE KILLED,YEAR,TOTAL INJURED,FEMALE INJURED,TOTAL KILLED,STATE/UT,CASES,MALE KILLED,MALE INJURED
ELECTROCUTION,177,2010,26,2,1182,ANDHRA PRADESH,1167,1005,24
GAS CYLINDER/STOVE BURST,462,2010,46,42,584,ANDHRA PRADESH,601,122,4
FIRE-ARMS,3,2010,0,0,24,ANDHRA PRADESH,23,21,0
SUDDEN DEATHS(HEART ATTACKS),91,2010,28,9,530,ANDHRA PRADESH,521,439,19
EPILEPTIC FITS/GIDDINESS,29,2010,18,3,166,ANDHRA PRADESH,156,137,15
ABORTIONS/CHILD BIRTH,18,2010,0,0,18,ANDHRA PRADESH,18,0,0
INFLUENCE OF ALCOHOL,2,2010,13,0,248,ANDHRA PRADESH,238,246,13
FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,58,2010,24,7,241,ANDHRA PRADESH,237,183,17
SNAKE BITE/ANIMAL BITE,277,2010,16,5,840,ANDHRA PRADESH,833,563,11
OTHER,252,2010,13,4,1117,ANDHRA PRADESH,1126,865,9
OTHER RAILWAY ACCIDENTS,128,2010,0,0,1202,ANDHRA PRADESH,873,1074,0
TOTAL DROWNING,493,2010,37,9,2518,ANDHRA PRADESH,2399,2025,28
TOTAL FALLS,194,2010,30,1,1226,ANDHRA PRADESH,1154,1032,29
TOTAL FIRE,1157,2010,114,70,1818,ANDHRA PRADESH,1842,661,44
TOTAL SUDDEN DEATHS,140,2010,59,12,962,ANDHRA PRADESH,933,822,47
TOTAL POISONING,626,2010,70,21,2366,ANDHRA PRADESH,2347,1740,49
ELECTROCUTION,1,2010,0,0,2,ARUNACHAL PRADESH,1,1,0
GAS CYLINDER/STOVE BURST,0,2010,0,0,0,ARUNACHAL PRADESH,0,0,0
FIRE-ARMS,0,2010,0,0,2,ARUNACHAL PRADESH,2,2,0
SUDDEN DEATHS(HEART ATTACKS),0,2010,0,0,11,ARUNACHAL PRADESH,11,11,0
