FEMALE KILLED,YEAR,MALE KILLED,STATE/UT,CASES,FEMALE INJURED,MALE INJURED,TOTAL INJURED,TOTAL KILLED,CAUSE
160,2011,810,ANDHRA PRADESH,961,1,2,3,970,ELECTROCUTION
337,2011,89,ANDHRA PRADESH,441,46,10,56,426,GAS CYLINDER/STOVE BURST
3,2011,1,ANDHRA PRADESH,4,0,0,0,4,FIRE-ARMS
122,2011,368,ANDHRA PRADESH,490,0,0,0,490,SUDDEN DEATHS(HEART ATTACKS)
50,2011,85,ANDHRA PRADESH,135,0,0,0,135,EPILEPTIC FITS/GIDDINESS
11,2011,0,ANDHRA PRADESH,11,0,0,0,11,ABORTIONS/CHILD BIRTH
10,2011,220,ANDHRA PRADESH,230,0,0,0,230,INFLUENCE OF ALCOHOL
84,2011,226,ANDHRA PRADESH,274,5,5,10,310,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
269,2011,486,ANDHRA PRADESH,750,0,1,1,755,SNAKE BITE/ANIMAL BITE
368,2011,1206,ANDHRA PRADESH,1549,18,32,50,1574,OTHER
300,2011,1070,ANDHRA PRADESH,1362,0,0,0,1370,OTHER RAILWAY ACCIDENTS
563,2011,2292,ANDHRA PRADESH,2751,9,21,30,2855,TOTAL DROWNING
195,2011,1056,ANDHRA PRADESH,1251,7,15,22,1251,TOTAL FALLS
1159,2011,906,ANDHRA PRADESH,2051,73,38,111,2065,TOTAL FIRE
193,2011,673,ANDHRA PRADESH,866,0,0,0,866,TOTAL SUDDEN DEATHS
730,2011,1989,ANDHRA PRADESH,2651,23,38,61,2719,TOTAL POISONING
3,2011,5,ARUNACHAL PRADESH,8,0,0,0,8,ELECTROCUTION
0,2011,0,ARUNACHAL PRADESH,0,0,0,0,0,GAS CYLINDER/STOVE BURST
0,2011,6,ARUNACHAL PRADESH,5,0,0,0,6,FIRE-ARMS
0,2011,5,ARUNACHAL PRADESH,5,0,0,0,5,SUDDEN DEATHS(HEART ATTACKS)
0,2011,2,ARUNACHAL PRADESH,2,0,0,0,2,EPILEPTIC FITS/GIDDINESS
0,2011,0,ARUNACHAL PRADESH,0,0,0,0,0,ABORTIONS/CHILD BIRTH
0,2011,4,ARUNACHAL PRADESH,4,0,0,0,4,INFLUENCE OF ALCOHOL
0,2011,0,ARUNACHAL PRADESH,0,0,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
0,2011,0,ARUNACHAL PRADESH,0,0,0,0,0,SNAKE BITE/ANIMAL BITE
3,2011,13,ARUNACHAL PRADESH,16,0,0,0,16,OTHER
0,2011,0,ARUNACHAL PRADESH,0,0,0,0,0,OTHER RAILWAY ACCIDENTS
4,2011,14,ARUNACHAL PRADESH,17,0,0,0,18,TOTAL DROWNING
3,2011,21,ARUNACHAL PRADESH,24,0,0,0,24,TOTAL FALLS
3,2011,10,ARUNACHAL PRADESH,12,0,0,0,13,TOTAL FIRE
0,2011,11,ARUNACHAL PRADESH,11,0,0,0,11,TOTAL SUDDEN DEATHS
3,2011,13,ARUNACHAL PRADESH,16,0,0,0,16,TOTAL POISONING
9,2011,90,ASSAM,98,0,0,0,99,ELECTROCUTION
14,2011,2,ASSAM,17,0,1,1,16,GAS CYLINDER/STOVE BURST
1,2011,18,ASSAM,16,0,2,2,19,FIRE-ARMS
11,2011,36,ASSAM,47,0,0,0,47,SUDDEN DEATHS(HEART ATTACKS)
0,2011,0,ASSAM,0,0,0,0,0,EPILEPTIC FITS/GIDDINESS
10,2011,0,ASSAM,10,0,0,0,10,ABORTIONS/CHILD BIRTH
0,2011,0,ASSAM,0,0,0,0,0,INFLUENCE OF ALCOHOL
15,2011,14,ASSAM,32,3,0,3,29,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
1,2011,6,ASSAM,7,0,0,0,7,SNAKE BITE/ANIMAL BITE
45,2011,56,ASSAM,100,0,0,0,101,OTHER
54,2011,429,ASSAM,482,0,0,0,483,OTHER RAILWAY ACCIDENTS
91,2011,277,ASSAM,343,0,0,0,368,TOTAL DROWNING
0,2011,38,ASSAM,38,0,0,0,38,TOTAL FALLS
120,2011,45,ASSAM,166,0,1,1,165,TOTAL FIRE
21,2011,36,ASSAM,57,0,0,0,57,TOTAL SUDDEN DEATHS
61,2011,77,ASSAM,140,3,0,3,138,TOTAL POISONING
32,2011,181,BIHAR,195,10,32,42,213,ELECTROCUTION
126,2011,21,BIHAR,166,32,27,59,147,GAS CYLINDER/STOVE BURST
5,2011,15,BIHAR,23,2,7,9,20,FIRE-ARMS
20,2011,80,BIHAR,95,1,1,2,100,SUDDEN DEATHS(HEART ATTACKS)
8,2011,21,BIHAR,41,6,8,14,29,EPILEPTIC FITS/GIDDINESS
9,2011,0,BIHAR,9,0,0,0,9,ABORTIONS/CHILD BIRTH
3,2011,126,BIHAR,136,0,22,22,129,INFLUENCE OF ALCOHOL
161,2011,261,BIHAR,434,30,34,64,422,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.
15,2011,46,BIHAR,62,0,3,3,61,SNAKE BITE/ANIMAL BITE
