TOTAL KILLED,CASES,MALE INJURED,STATE/UT,MALE KILLED,TOTAL INJURED,YEAR,CAUSE,FEMALE INJURED,FEMALE KILLED
880,870,4,ANDHRA PRADESH,712,5,2012,ELECTROCUTION,1,168
262,274,7,ANDHRA PRADESH,50,25,2012,GAS CYLINDER/STOVE BURST,18,212
14,11,0,ANDHRA PRADESH,8,1,2012,FIRE-ARMS,1,6
507,505,0,ANDHRA PRADESH,453,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,54
160,160,0,ANDHRA PRADESH,134,0,2012,EPILEPTIC FITS/GIDDINESS,0,26
6,6,0,ANDHRA PRADESH,0,0,2012,ABORTIONS/CHILD BIRTH,0,6
218,211,0,ANDHRA PRADESH,210,0,2012,INFLUENCE OF ALCOHOL,0,8
165,175,8,ANDHRA PRADESH,115,13,2012,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,5,50
702,712,13,ANDHRA PRADESH,471,13,2012,SNAKE BITE/ANIMAL BITE,0,231
1235,1234,8,ANDHRA PRADESH,896,12,2012,OTHER,4,339
2698,2692,582,ANDHRA PRADESH,2312,676,2012,OTHER RAILWAY ACCIDENTS,94,386
2105,2023,16,ANDHRA PRADESH,1726,21,2012,TOTAL DROWNING,5,379
1224,1222,18,ANDHRA PRADESH,997,24,2012,TOTAL FALLS,6,227
1396,1400,31,ANDHRA PRADESH,577,73,2012,TOTAL FIRE,42,819
891,882,0,ANDHRA PRADESH,797,0,2012,TOTAL SUDDEN DEATHS,0,94
2139,2156,29,ANDHRA PRADESH,1511,38,2012,TOTAL POISONING,9,628
9,9,0,ARUNACHAL PRADESH,9,0,2012,ELECTROCUTION,0,0
0,0,0,ARUNACHAL PRADESH,0,0,2012,GAS CYLINDER/STOVE BURST,0,0
1,1,0,ARUNACHAL PRADESH,1,0,2012,FIRE-ARMS,0,0
15,15,0,ARUNACHAL PRADESH,13,0,2012,SUDDEN DEATHS(HEART ATTACKS),0,2
1,1,0,ARUNACHAL PRADESH,1,0,2012,EPILEPTIC FITS/GIDDINESS,0,0
