TOTAL KILLED,STATE/UT,MALE KILLED,FEMALE KILLED,MALE INJURED,CAUSE,CASES,FEMALE INJURED,TOTAL INJURED,YEAR
1008,ANDHRA PRADESH,855,153,13,ELECTROCUTION,993,2,15,2013
411,ANDHRA PRADESH,93,318,5,GAS CYLINDER/STOVE BURST,401,4,9,2013
15,ANDHRA PRADESH,4,11,0,FIRE-ARMS,15,0,0,2013
335,ANDHRA PRADESH,305,30,0,SUDDEN DEATHS(HEART ATTACKS),334,0,0,2013
248,ANDHRA PRADESH,203,45,0,EPILEPTIC FITS/GIDDINESS,245,0,0,2013
14,ANDHRA PRADESH,0,14,0,ABORTIONS/CHILD BIRTH,14,0,0,2013
265,ANDHRA PRADESH,260,5,0,INFLUENCE OF ALCOHOL,264,0,0,2013
193,ANDHRA PRADESH,146,47,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,186,0,0,2013
674,ANDHRA PRADESH,446,228,0,SNAKE BITE/ANIMAL BITE,674,0,0,2013
1467,ANDHRA PRADESH,1100,367,4,OTHER,1465,1,5,2013
2759,ANDHRA PRADESH,2405,354,572,OTHER RAILWAY ACCIDENTS,2742,84,656,2013
2791,ANDHRA PRADESH,2221,570,18,TOTAL DROWNING,2617,2,20,2013
1456,ANDHRA PRADESH,1228,228,43,TOTAL FALLS,1465,8,51,2013
1770,ANDHRA PRADESH,756,1014,24,TOTAL FIRE,1730,14,38,2013
862,ANDHRA PRADESH,768,94,0,TOTAL SUDDEN DEATHS,857,0,0,2013
2425,ANDHRA PRADESH,1759,666,4,TOTAL POISONING,2414,1,5,2013
3,ARUNACHAL PRADESH,3,0,0,ELECTROCUTION,3,0,0,2013
0,ARUNACHAL PRADESH,0,0,0,GAS CYLINDER/STOVE BURST,0,0,0,2013
3,ARUNACHAL PRADESH,3,0,0,FIRE-ARMS,3,0,0,2013
16,ARUNACHAL PRADESH,14,2,0,SUDDEN DEATHS(HEART ATTACKS),16,0,0,2013
0,ARUNACHAL PRADESH,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
0,ARUNACHAL PRADESH,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
1,ARUNACHAL PRADESH,1,0,0,INFLUENCE OF ALCOHOL,1,0,0,2013
1,ARUNACHAL PRADESH,0,1,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,1,0,0,2013
0,ARUNACHAL PRADESH,0,0,0,SNAKE BITE/ANIMAL BITE,0,0,0,2013
24,ARUNACHAL PRADESH,20,4,0,OTHER,24,0,0,2013
0,ARUNACHAL PRADESH,0,0,0,OTHER RAILWAY ACCIDENTS,0,0,0,2013
46,ARUNACHAL PRADESH,38,8,0,TOTAL DROWNING,46,0,0,2013
24,ARUNACHAL PRADESH,23,1,0,TOTAL FALLS,24,0,0,2013
11,ARUNACHAL PRADESH,4,7,0,TOTAL FIRE,7,0,0,2013
17,ARUNACHAL PRADESH,15,2,0,TOTAL SUDDEN DEATHS,17,0,0,2013
25,ARUNACHAL PRADESH,20,5,0,TOTAL POISONING,25,0,0,2013
58,ASSAM,48,10,0,ELECTROCUTION,56,0,0,2013
14,ASSAM,2,12,0,GAS CYLINDER/STOVE BURST,14,0,0,2013
14,ASSAM,12,2,0,FIRE-ARMS,14,0,0,2013
54,ASSAM,50,4,0,SUDDEN DEATHS(HEART ATTACKS),54,0,0,2013
0,ASSAM,0,0,0,EPILEPTIC FITS/GIDDINESS,0,0,0,2013
0,ASSAM,0,0,0,ABORTIONS/CHILD BIRTH,0,0,0,2013
5,ASSAM,5,0,1,INFLUENCE OF ALCOHOL,5,0,1,2013
0,ASSAM,0,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,0,0,0,2013
4,ASSAM,4,0,0,SNAKE BITE/ANIMAL BITE,4,0,0,2013
196,ASSAM,111,85,0,OTHER,196,0,0,2013
450,ASSAM,372,78,0,OTHER RAILWAY ACCIDENTS,450,0,0,2013
467,ASSAM,361,106,0,TOTAL DROWNING,449,0,0,2013
27,ASSAM,26,1,0,TOTAL FALLS,27,0,0,2013
144,ASSAM,39,105,0,TOTAL FIRE,136,0,0,2013
59,ASSAM,55,4,1,TOTAL SUDDEN DEATHS,59,0,1,2013
200,ASSAM,115,85,0,TOTAL POISONING,200,0,0,2013
224,BIHAR,187,37,11,ELECTROCUTION,224,3,14,2013
81,BIHAR,15,66,2,GAS CYLINDER/STOVE BURST,77,11,13,2013
47,BIHAR,43,4,27,FIRE-ARMS,64,4,31,2013
110,BIHAR,98,12,6,SUDDEN DEATHS(HEART ATTACKS),121,5,11,2013
50,BIHAR,42,8,8,EPILEPTIC FITS/GIDDINESS,62,4,12,2013
39,BIHAR,0,39,0,ABORTIONS/CHILD BIRTH,39,0,0,2013
156,BIHAR,148,8,11,INFLUENCE OF ALCOHOL,164,4,15,2013
351,BIHAR,197,154,18,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,345,7,25,2013
30,BIHAR,19,11,1,SNAKE BITE/ANIMAL BITE,31,0,1,2013
208,BIHAR,134,74,24,OTHER,244,12,36,2013
1797,BIHAR,1472,325,0,OTHER RAILWAY ACCIDENTS,1788,0,0,2013
686,BIHAR,520,166,78,TOTAL DROWNING,717,45,123,2013
112,BIHAR,92,20,14,TOTAL FALLS,125,8,22,2013
410,BIHAR,129,281,31,TOTAL FIRE,421,31,62,2013
355,BIHAR,288,67,25,TOTAL SUDDEN DEATHS,386,13,38,2013
629,BIHAR,384,245,63,TOTAL POISONING,671,19,82,2013
513,CHHATTISGARH,435,78,0,ELECTROCUTION,513,0,0,2013
17,CHHATTISGARH,4,13,0,GAS CYLINDER/STOVE BURST,17,0,0,2013
84,CHHATTISGARH,76,8,0,FIRE-ARMS,84,0,0,2013
234,CHHATTISGARH,199,35,0,SUDDEN DEATHS(HEART ATTACKS),234,0,0,2013
62,CHHATTISGARH,49,13,0,EPILEPTIC FITS/GIDDINESS,62,0,0,2013
15,CHHATTISGARH,0,15,0,ABORTIONS/CHILD BIRTH,15,0,0,2013
286,CHHATTISGARH,259,27,0,INFLUENCE OF ALCOHOL,286,0,0,2013
296,CHHATTISGARH,172,124,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,296,0,0,2013
780,CHHATTISGARH,429,351,0,SNAKE BITE/ANIMAL BITE,780,0,0,2013
445,CHHATTISGARH,295,150,0,OTHER,445,0,0,2013
595,CHHATTISGARH,489,106,0,OTHER RAILWAY ACCIDENTS,595,0,0,2013
1730,CHHATTISGARH,1251,479,0,TOTAL DROWNING,1657,0,0,2013
408,CHHATTISGARH,328,80,9,TOTAL FALLS,408,0,9,2013
1011,CHHATTISGARH,302,709,0,TOTAL FIRE,1008,0,0,2013
597,CHHATTISGARH,507,90,0,TOTAL SUDDEN DEATHS,597,0,0,2013
1524,CHHATTISGARH,898,626,0,TOTAL POISONING,1524,0,0,2013
16,GOA,13,3,0,ELECTROCUTION,16,0,0,2013
7,GOA,2,5,0,GAS CYLINDER/STOVE BURST,8,0,0,2013
0,GOA,0,0,0,FIRE-ARMS,0,0,0,2013
12,GOA,10,2,0,SUDDEN DEATHS(HEART ATTACKS),12,0,0,2013
5,GOA,4,1,0,EPILEPTIC FITS/GIDDINESS,5,0,0,2013
1,GOA,0,1,0,ABORTIONS/CHILD BIRTH,1,0,0,2013
7,GOA,7,0,0,INFLUENCE OF ALCOHOL,7,0,0,2013
2,GOA,2,0,0,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,2,0,0,2013
3,GOA,3,0,0,SNAKE BITE/ANIMAL BITE,3,0,0,2013
1,GOA,1,0,0,OTHER,1,0,0,2013
41,GOA,38,3,0,OTHER RAILWAY ACCIDENTS,41,0,0,2013
153,GOA,135,18,0,TOTAL DROWNING,138,0,0,2013
115,GOA,106,9,1,TOTAL FALLS,101,0,1,2013
25,GOA,7,18,0,TOTAL FIRE,23,0,0,2013
25,GOA,21,4,0,TOTAL SUDDEN DEATHS,25,0,0,2013
6,GOA,6,0,0,TOTAL POISONING,6,0,0,2013
624,GUJARAT,522,102,6,ELECTROCUTION,615,3,9,2013
568,GUJARAT,115,453,0,GAS CYLINDER/STOVE BURST,570,0,0,2013
9,GUJARAT,4,5,0,FIRE-ARMS,9,0,0,2013
2896,GUJARAT,2572,324,2,SUDDEN DEATHS(HEART ATTACKS),2898,0,2,2013
684,GUJARAT,548,136,1,EPILEPTIC FITS/GIDDINESS,682,0,1,2013
54,GUJARAT,0,54,0,ABORTIONS/CHILD BIRTH,54,0,0,2013
24,GUJARAT,23,1,1,INFLUENCE OF ALCOHOL,25,0,1,2013
423,GUJARAT,277,146,10,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,431,4,14,2013
455,GUJARAT,273,182,19,SNAKE BITE/ANIMAL BITE,487,16,35,2013
579,GUJARAT,427,152,0,OTHER,581,3,3,2013
1221,GUJARAT,1053,168,0,OTHER RAILWAY ACCIDENTS,1212,0,0,2013
2009,GUJARAT,1696,313,2,TOTAL DROWNING,1964,1,3,2013
1489,GUJARAT,1259,230,32,TOTAL FALLS,1510,10,42,2013
2212,GUJARAT,775,1437,23,TOTAL FIRE,2242,47,70,2013
3658,GUJARAT,3143,515,4,TOTAL SUDDEN DEATHS,3659,0,4,2013
