STATE/UT,YEAR,CAUSE,CASES,MALE INJURED,FEMALE INJURED,TOTAL INJURED,MALE KILLED,FEMALE KILLED,TOTAL KILLED
ANDHRA PRADESH,2001,AIR-CRASH,0,0,0,0,0,0,0
ANDHRA PRADESH,2001,COLLAPSE OF STRUCTURE(HOUSE),40,9,2,11,28,28,56
ANDHRA PRADESH,2001,COLLAPSE OF STRUCTURE(BUILDING),18,1,2,3,29,7,36
ANDHRA PRADESH,2001,COLLAPSE OF STRUCTURE(DAM),0,0,0,0,0,0,0
ANDHRA PRADESH,2001,COLLAPSE OF STRUCTURE(BRIDGE),4,2,2,4,6,6,12
ANDHRA PRADESH,2001,COLLAPSE OF STRUCTURE(OTHERS),84,17,8,25,80,33,113
ANDHRA PRADESH,2001,DROWNING (BOAT CAPSIZE),33,6,0,6,34,7,41
ANDHRA PRADESH,2001,DROWNING(OTHER CASES),1366,27,3,30,1044,362,1406
ANDHRA PRADESH,2001,ELECTROCUTION,611,8,10,18,573,92,665
ANDHRA PRADESH,2001,EXPLOSION (BOMB EXPLOSION),8,16,4,20,13,16,29
ANDHRA PRADESH,2001,"EXPLOSION(OTHER EXPLOSION LIKE BOILERS,",11,1,0,1,4,4,8
ANDHRA PRADESH,2001,FALLS (FALL FROM HEIGHT),753,14,3,17,696,88,784
ANDHRA PRADESH,2001,FALL INTO PIT/MANHOLE,69,1,0,1,55,10,65
ANDHRA PRADESH,2001,FACTORY/MACHINE ACCIDENTS,48,9,0,9,40,17,57
ANDHRA PRADESH,2001,FIRE (FIREWORKS/CRACKERS),28,16,3,19,31,8,39
ANDHRA PRADESH,2001,FIRE (SHORT-CIRCUIT),292,8,2,10,264,43,307
ANDHRA PRADESH,2001,GAS CYLINDER/STOVE BURST,1003,21,52,73,204,732,936
ANDHRA PRADESH,2001,OTHER FIRE ACCIDENTS,582,6,13,19,169,390,559
ANDHRA PRADESH,2001,FIRE-ARMS,25,1,0,1,19,7,26
ANDHRA PRADESH,2001,SUDDEN DEATHS(HEART ATTACKS),268,0,0,0,220,59,279
ANDHRA PRADESH,2001,EPILEPTIC FITS/GIDDINESS,50,1,0,1,34,15,49
ANDHRA PRADESH,2001,ABORTIONS/CHILD BIRTH,19,0,0,0,0,19,19
ANDHRA PRADESH,2001,INFLUENCE OF ALCOHOL,183,14,1,15,170,11,181
ANDHRA PRADESH,2001,KILLED BY ANIMALS,33,1,0,1,29,4,33
ANDHRA PRADESH,2001,MINES OR QUARY DISASTER,19,5,4,9,12,3,15
ANDHRA PRADESH,2001,FOOD POISIONING/ACCIDENTAL INTAKE OF INSECTICIDES ETC.,159,13,3,16,140,46,186
ANDHRA PRADESH,2001,SPURIOUS/POISIONOUS LIQUOR,23,4,1,5,20,3,23
ANDHRA PRADESH,2001,LEAKAGE OF POISINOUS GASES ETC.,4,0,0,0,4,0,4
ANDHRA PRADESH,2001,SNAKE BITE/ANIMAL BITE,643,7,5,12,508,125,633
ANDHRA PRADESH,2001,OTHER,556,10,9,19,398,181,579
ANDHRA PRADESH,2001,STAMPEDE,2,0,0,0,2,0,2
ANDHRA PRADESH,2001,SUFFOCATION,9,0,0,0,9,0,9
ANDHRA PRADESH,2001,TRAFFIC ACCIDENTS (ROAD ACCIDENTS),27188,27725,6110,33835,6947,1427,8374
ANDHRA PRADESH,2001,TRAFFIC ACCIDENTS (RAIL-ROAD ACCIDENTS),623,6,1,7,558,68,626
ANDHRA PRADESH,2001,OTHER RAILWAY ACCIDENTS,674,0,0,0,586,90,676
ANDHRA PRADESH,2001,OTHER CAUSES (PLEASE SPECIFY),1096,530,191,721,880,361,1241
ANDHRA PRADESH,2001,CAUSES NOT KNOWN,486,113,72,185,509,179,688
ANDHRA PRADESH,2001,TOTAL,37010,28592,6501,35093,14315,4441,18756
ANDHRA PRADESH,2001,TOTAL COLLAPSE,146,29,14,43,143,74,217
ANDHRA PRADESH,2001,TOTAL DROWNING,1399,33,3,36,1078,369,1447
ANDHRA PRADESH,2001,TOTAL EXPLOSION,19,17,4,21,17,20,37
ANDHRA PRADESH,2001,TOTAL FALLS,822,15,3,18,751,98,849
ANDHRA PRADESH,2001,TOTAL FIRE,1905,51,70,121,668,1173,1841
ANDHRA PRADESH,2001,TOTAL SUDDEN DEATHS,520,15,1,16,424,104,528
ANDHRA PRADESH,2001,TOTAL POISONING,1385,34,18,52,1070,355,1425
ANDHRA PRADESH,2001,TOTAL TRAFFIC ACCIDENTS,28485,27731,6111,33842,8091,1585,9676
